hex,count_good_aircraft,count_bad_aircraft
840b905ffffffff,5,0
8428f4dffffffff,87,0
84074c5ffffffff,17,0
84696adffffffff,28,0
8426aabffffffff,144,0
8480267ffffffff,1,0
8407405ffffffff,21,0
8469a15ffffffff,13,0
845f759ffffffff,1,0
848b467ffffffff,3,0
8458831ffffffff,5,0
84754c5ffffffff,1,0
843651bffffffff,6,0
8422ae9ffffffff,2,0
843f6c5ffffffff,93,0
840f33bffffffff,3,0
843ae55ffffffff,1,0
8453601ffffffff,33,0
8434053ffffffff,3,0
8448c6bffffffff,224,0
8418625ffffffff,153,0
842f1b5ffffffff,4,0
841e527ffffffff,106,0
84c30b9ffffffff,3,0
840f12bffffffff,1,0
8482115ffffffff,1,0
8442cb9ffffffff,89,0
84a8c61ffffffff,29,0
844d5abffffffff,6,0
84109d9ffffffff,4,0
842a6a1ffffffff,6,0
847b05dffffffff,3,0
84356a3ffffffff,1,0
84672d3ffffffff,10,0
84446a9ffffffff,188,0
841f109ffffffff,125,0
84b8acdffffffff,1,0
840c96bffffffff,5,0
8448cc1ffffffff,132,0
841cf4bffffffff,1,0
84812d1ffffffff,4,0
84430e9ffffffff,11,0
8425455ffffffff,4,0
8427769ffffffff,23,0
8464a35ffffffff,2,0
844161bffffffff,7,0
8439097ffffffff,124,0
8482f31ffffffff,1,0
8409915ffffffff,22,0
84a98d3ffffffff,3,0
8466e35ffffffff,13,0
8442a87ffffffff,1,0
8428809ffffffff,87,1
841f111ffffffff,209,2
84a7a25ffffffff,2,0
84201cdffffffff,8,0
8441191ffffffff,18,0
844448bffffffff,67,0
8458961ffffffff,16,0
8444b0bffffffff,30,0
8428919ffffffff,28,0
8416c9dffffffff,1,0
849c601ffffffff,5,0
8419157ffffffff,2,0
8499591ffffffff,1,0
8443ac3ffffffff,12,0
848b819ffffffff,3,0
8444cb1ffffffff,155,0
8495a63ffffffff,6,0
8464a29ffffffff,45,0
842ccb1ffffffff,5,0
842aa31ffffffff,178,0
84529abffffffff,5,0
842b9dbffffffff,111,0
8406cd9ffffffff,1,0
842caadffffffff,11,0
8471169ffffffff,1,0
8418067ffffffff,24,0
843835dffffffff,20,0
8480b59ffffffff,5,0
84696a7ffffffff,25,0
848f6e5ffffffff,5,0
8440f33ffffffff,20,0
844f73dffffffff,1,0
84548d3ffffffff,1,0
84a9455ffffffff,2,0
84bcddbffffffff,5,0
845d637ffffffff,1,0
843f65bffffffff,15,0
843ce05ffffffff,21,0
8412889ffffffff,5,0
842b36bffffffff,30,0
8419021ffffffff,11,0
84021e9ffffffff,2,0
84a6363ffffffff,2,0
