hex,count_good_aircraft,count_bad_aircraft
8410f43ffffffff,5,0
84b9157ffffffff,4,0
8410431ffffffff,11,0
840eb2dffffffff,1,0
843b299ffffffff,2,0
8435655ffffffff,11,0
8428189ffffffff,8,0
8416d0dffffffff,1,0
8480189ffffffff,1,0
840b067ffffffff,2,0
84b9069ffffffff,18,0
841858bffffffff,113,0
84a8011ffffffff,19,0
84340d3ffffffff,4,0
8486759ffffffff,1,0
844b751ffffffff,38,0
842b0dbffffffff,13,0
8427a27ffffffff,12,0
84458e1ffffffff,2,0
84724c9ffffffff,1,0
841ee07ffffffff,250,0
8426c67ffffffff,263,0
8450b61ffffffff,1,0
841276dffffffff,18,0
8408e6dffffffff,2,0
842893dffffffff,151,1
845f459ffffffff,1,0
8426c09ffffffff,176,0
846708dffffffff,1,0
8435095ffffffff,4,0
847986dffffffff,1,0
84112b5ffffffff,7,0
841c165ffffffff,1,0
844cd27ffffffff,2,0
84be11bffffffff,9,0
84bef61ffffffff,119,0
84a7aabffffffff,14,0
84812b1ffffffff,1,0
8466ad1ffffffff,9,0
84c2d11ffffffff,2,0
842d1ebffffffff,1,0
8461823ffffffff,5,0
8494809ffffffff,1,0
84b21cdffffffff,17,0
8428409ffffffff,4,0
841b9abffffffff,30,0
84290d3ffffffff,1,0
8445807ffffffff,2,0
849f413ffffffff,1,0
8434339ffffffff,4,0
8428611ffffffff,1,0
84108c5ffffffff,4,0
84b89cbffffffff,4,0
849e565ffffffff,1,0
8444e4bffffffff,11,0
845f2a7ffffffff,3,0
849d729ffffffff,5,0
848ad15ffffffff,2,0
8406d93ffffffff,3,0
844e927ffffffff,1,0
842e729ffffffff,120,0
846635dffffffff,15,0
842a0d1ffffffff,2,0
84195ebffffffff,212,1
844bacbffffffff,3,0
846858bffffffff,1,0
845ccb7ffffffff,1,0
841ae8dffffffff,1,0
84120b9ffffffff,9,0
84482b7ffffffff,12,0
846512dffffffff,1,0
848a165ffffffff,1,0
84200a5ffffffff,8,0
8495467ffffffff,2,0
8445519ffffffff,28,0
847a033ffffffff,10,0
8411467ffffffff,2,0
84b3255ffffffff,2,0
84188d5ffffffff,1,0
84299e3ffffffff,120,0
84be039ffffffff,11,0
844143dffffffff,126,0
845506bffffffff,10,0
8464ec7ffffffff,1,0
8463321ffffffff,1,0
842e667ffffffff,201,0
84201a3ffffffff,6,0
842316dffffffff,1,0
841650bffffffff,6,0
8422f45ffffffff,1,0
846a401ffffffff,1,0
841f183ffffffff,223,0
848b467ffffffff,6,0
8464a6dffffffff,12,0
8421297ffffffff,11,0
842ba53ffffffff,40,0
8468a83ffffffff,1,0
842e29dffffffff,85,0
8461613ffffffff,1,0
848f70dffffffff,5,0
841275dffffffff,31,0
8495457ffffffff,9,0
8407aedffffffff,2,0
841bb0bffffffff,5,0
84a82c3ffffffff,18,0
84ba60bffffffff,1,0
842b0cdffffffff,85,0
840e803ffffffff,3,0
842a253ffffffff,19,0
841d6cbffffffff,5,0
8413685ffffffff,1,0
8441145ffffffff,73,0
8439747ffffffff,188,0
840e169ffffffff,1,0
84575a7ffffffff,1,0
8468ad9ffffffff,2,0
846b489ffffffff,1,0
8419607ffffffff,42,0
8481423ffffffff,10,0
840e9d3ffffffff,1,0
843b421ffffffff,1,0
841f9d9ffffffff,382,0
84b84d3ffffffff,9,0
842f5edffffffff,27,0
8412d11ffffffff,109,0
843580bffffffff,3,0
8482da7ffffffff,1,0
8412f01ffffffff,12,0
84002c1ffffffff,1,0
843ae89ffffffff,2,0
8434067ffffffff,1,0
846875dffffffff,6,0
8418631ffffffff,139,0
842d91dffffffff,12,0
847a595ffffffff,1,0
8411a91ffffffff,27,0
8473555ffffffff,1,0
842e455ffffffff,16,0
84480d7ffffffff,11,0
848b347ffffffff,4,0
8426e45ffffffff,181,0
84650b3ffffffff,3,0
847552dffffffff,1,0
842b0b5ffffffff,15,0
8409055ffffffff,1,0
8443847ffffffff,70,0
843f723ffffffff,24,0
849754bffffffff,1,0
8476ab5ffffffff,1,0
84b916bffffffff,88,0
841e00dffffffff,223,0
843a711ffffffff,1,0
841edd7ffffffff,278,0
8480121ffffffff,3,0
840ca07ffffffff,6,0
847a447ffffffff,1,0
844ead1ffffffff,1,0
84481cdffffffff,1,0
84351bdffffffff,29,0
84a8063ffffffff,31,0
84ba25bffffffff,1,0
8415a21ffffffff,2,0
843ad0bffffffff,1,0
8438447ffffffff,12,0
84bee13ffffffff,18,0
8429319ffffffff,1,0
84074d3ffffffff,3,0
8443307ffffffff,118,0
84878c3ffffffff,1,0
842e295ffffffff,123,0
8412f15ffffffff,16,0
8453ac5ffffffff,21,0
8418805ffffffff,2,0
84398c3ffffffff,23,0
8460329ffffffff,20,0
842ac93ffffffff,1,0
842f1a3ffffffff,2,0
8467881ffffffff,16,0
84a6d01ffffffff,2,0
84b8aa9ffffffff,1,0
842a667ffffffff,2,0
8426a25ffffffff,110,0
8418693ffffffff,319,0
840675dffffffff,10,0
845e4e9ffffffff,21,0
84a8a91ffffffff,62,1
848ac37ffffffff,2,0
844251dffffffff,8,0
8410353ffffffff,46,0
8464545ffffffff,1,0
84165e5ffffffff,1,0
84b881bffffffff,1,0
84c2d55ffffffff,5,0
8481ae5ffffffff,50,0
84102e1ffffffff,2,0
84650e7ffffffff,33,0
8408891ffffffff,3,0
845f4ddffffffff,1,0
848c8bbffffffff,40,0
8416e2dffffffff,4,0
8428e63ffffffff,1,0
8481887ffffffff,6,0
843ca1bffffffff,13,0
840e343ffffffff,1,0
8412089ffffffff,3,0
842b825ffffffff,55,0
841eb61ffffffff,86,0
8454457ffffffff,2,0
8426135ffffffff,140,0
846b5b1ffffffff,3,0
8429231ffffffff,1,0
846586dffffffff,11,0
8464a1dffffffff,56,0
8416637ffffffff,1,0
848c125ffffffff,44,0
8407453ffffffff,27,0
843cb53ffffffff,19,0
84695e5ffffffff,13,0
84688c5ffffffff,2,0
8439097ffffffff,148,0
84a9519ffffffff,8,0
846186bffffffff,5,0
849ea3bffffffff,1,0
841e133ffffffff,354,0
844c895ffffffff,2,0
849a591ffffffff,1,0
842e2e1ffffffff,57,0
844990dffffffff,79,0
8415a05ffffffff,3,0
84b8821ffffffff,1,0
842db6dffffffff,2,0
84110b5ffffffff,3,0
8427495ffffffff,516,0
84af8c9ffffffff,1,0
843254dffffffff,2,0
8419591ffffffff,485,5
8469835ffffffff,9,0
8408c21ffffffff,5,0
8412199ffffffff,17,0
8412de5ffffffff,59,0
8446695ffffffff,4,0
843283dffffffff,1,0
842b169ffffffff,44,0
8438e95ffffffff,9,0
844b4d1ffffffff,6,0
8448c57ffffffff,193,0
84a816dffffffff,9,0
8428359ffffffff,86,1
844535dffffffff,8,0
84a8455ffffffff,2,0
84660a9ffffffff,64,0
847cc05ffffffff,1,0
8480617ffffffff,1,0
84bb511ffffffff,7,0
843c9bbffffffff,1,0
8442f31ffffffff,18,0
841b849ffffffff,11,0
84a8c63ffffffff,12,0
846763bffffffff,5,0
84b2261ffffffff,13,0
84334adffffffff,3,0
848af07ffffffff,2,0
8441659ffffffff,114,0
847f9d9ffffffff,1,0
8416615ffffffff,1,0
844222dffffffff,1,0
8409b39ffffffff,4,0
8438057ffffffff,4,0
841960bffffffff,5,0
84111d5ffffffff,35,0
84be511ffffffff,14,0
84a7aa9ffffffff,18,0
840648bffffffff,2,0
842b599ffffffff,3,0
842cd4bffffffff,47,0
842a6adffffffff,9,0
8439003ffffffff,100,0
84328d1ffffffff,1,0
8496493ffffffff,1,0
84b3621ffffffff,1,0
8455269ffffffff,24,0
842b60bffffffff,1,0
8410b15ffffffff,12,0
843b23dffffffff,1,0
8442ce9ffffffff,48,0
842b8c5ffffffff,61,0
840c5c3ffffffff,13,0
84c2d39ffffffff,18,0
84bb621ffffffff,1,0
84072e7ffffffff,1,0
8438a39ffffffff,1,0
8448c43ffffffff,136,0
8429b13ffffffff,311,0
84be023ffffffff,10,0
84819cbffffffff,7,0
841ecb9ffffffff,150,4
84a594bffffffff,6,0
8444547ffffffff,19,0
842145dffffffff,12,0
844859dffffffff,81,0
840e4a7ffffffff,4,0
842ba19ffffffff,38,0
848bb53ffffffff,3,0
842c9b1ffffffff,6,0
8426da5ffffffff,115,0
843000dffffffff,1,0
844c8d1ffffffff,43,0
846a0cdffffffff,1,0
84c2c59ffffffff,36,0
8406339ffffffff,1,0
8408de1ffffffff,4,0
84195b5ffffffff,229,1
8430c67ffffffff,201,0
84b8417ffffffff,10,0
841f95bffffffff,290,0
849c649ffffffff,2,0
84da957ffffffff,10,0
84402a7ffffffff,1,0
845e64dffffffff,4,0
8427989ffffffff,81,0
848b883ffffffff,1,0
841ac31ffffffff,3,0
8432db1ffffffff,2,0
8465021ffffffff,30,0
847d135ffffffff,1,0
843242dffffffff,1,0
842cdb9ffffffff,3,0
84181b3ffffffff,1,0
84a8ca3ffffffff,6,0
844258bffffffff,19,0
84b3453ffffffff,1,0
84288c1ffffffff,151,0
8483095ffffffff,1,0
848c721ffffffff,2,0
842a139ffffffff,1108,0
84104edffffffff,14,0
843ad43ffffffff,3,0
84b2c0dffffffff,2,0
841298dffffffff,1,0
84421c5ffffffff,23,0
8426313ffffffff,90,0
84445c7ffffffff,267,0
844b26dffffffff,112,0
84b2c09ffffffff,7,0
8410a57ffffffff,89,0
8442449ffffffff,9,0
848cd41ffffffff,8,0
8418605ffffffff,317,0
84092e9ffffffff,1,0
8422b3bffffffff,3,0
841c167ffffffff,4,0
846573dffffffff,1,0
8432e85ffffffff,1,0
843f329ffffffff,38,0
849d40dffffffff,3,0
844c8e9ffffffff,1,0
8426919ffffffff,239,0
8421617ffffffff,2,0
8434903ffffffff,1,0
848ab5dffffffff,2,0
8435b4bffffffff,1,0
842a8b5ffffffff,659,0
841f21bffffffff,106,0
842a507ffffffff,3,0
8439761ffffffff,210,0
84b2dd9ffffffff,9,0
848a8c9ffffffff,1,0
8410341ffffffff,11,0
841a0c9ffffffff,3,0
8495137ffffffff,4,0
849d529ffffffff,1,0
8409915ffffffff,43,0
846a293ffffffff,1,0
843b55bffffffff,2,0
8436585ffffffff,1,0
843d9edffffffff,151,0
845e643ffffffff,10,0
848f053ffffffff,6,0
8460027ffffffff,10,0
841f1cbffffffff,148,0
842a003ffffffff,3,0
84352b5ffffffff,1,0
84a80c3ffffffff,3,0
8460363ffffffff,11,0
84498d1ffffffff,39,1
8463883ffffffff,2,0
8439945ffffffff,56,0
8426c6bffffffff,154,0
84c354dffffffff,1,0
843a643ffffffff,1,0
84b32cbffffffff,2,0
8408143ffffffff,34,0
849c251ffffffff,8,0
841a6d7ffffffff,4,0
8411561ffffffff,3,0
841121dffffffff,6,0
8406949ffffffff,1,0
840985bffffffff,12,0
8445a07ffffffff,22,0
847a693ffffffff,1,0
8409aa5ffffffff,18,0
84280a5ffffffff,3,0
8408a69ffffffff,103,0
8408965ffffffff,67,0
84662c5ffffffff,8,0
845f40bffffffff,3,0
8419addffffffff,2,0
842ad67ffffffff,302,0
8469a03ffffffff,13,0
8444163ffffffff,135,0
843a1c9ffffffff,1,0
84da80bffffffff,12,0
8444353ffffffff,7,0
8480b6bffffffff,2,0
8434ecdffffffff,2,0
8411a3bffffffff,26,0
848e60dffffffff,1,0
846b099ffffffff,1,0
841f833ffffffff,683,1
8416e43ffffffff,4,0
8495a23ffffffff,3,0
8448767ffffffff,12,0
8441021ffffffff,80,0
841bb09ffffffff,16,0
842d333ffffffff,166,21
842812bffffffff,145,0
8428307ffffffff,332,0
842a16dffffffff,326,0
8468169ffffffff,35,0
8421889ffffffff,3,0
843f4b9ffffffff,145,20
8445adbffffffff,3,0
84a8d61ffffffff,23,0
84425d5ffffffff,74,0
8469447ffffffff,2,0
841e865ffffffff,212,0
848e6a5ffffffff,2,0
8418c0dffffffff,2,0
844268bffffffff,11,0
84562c1ffffffff,3,0
8409115ffffffff,1,0
842c04bffffffff,17,0
84bc40bffffffff,2,0
84ada81ffffffff,2,0
848f56dffffffff,15,0
8475747ffffffff,1,0
8436d6bffffffff,1,0
8402605ffffffff,1,0
8406d17ffffffff,3,0
