hex,count_good_aircraft,count_bad_aircraft
848c935ffffffff,12,0
840b02bffffffff,1,0
84bcc09ffffffff,5,0
8413ab7ffffffff,1,0
84278a7ffffffff,35,0
844af09ffffffff,2,0
8440e39ffffffff,241,0
841e2c1ffffffff,65,0
8412591ffffffff,54,0
8408d2dffffffff,4,0
849d1e5ffffffff,1,0
84b26b3ffffffff,3,0
8481329ffffffff,18,0
848db51ffffffff,16,0
841a2e9ffffffff,5,0
84194b5ffffffff,255,0
84105b1ffffffff,3,0
849f4dbffffffff,1,0
84c2241ffffffff,6,0
8464257ffffffff,25,0
842a905ffffffff,345,0
842b0bdffffffff,13,0
841433dffffffff,2,0
840cc6bffffffff,11,0
848baa9ffffffff,8,0
8480241ffffffff,4,0
8458c65ffffffff,1,0
843d801ffffffff,11,0
84295e5ffffffff,29,0
84400e9ffffffff,9,0
8450d51ffffffff,1,0
8436293ffffffff,1,0
842645bffffffff,203,0
84282c9ffffffff,27,0
84be73bffffffff,60,0
8410861ffffffff,2,0
841a515ffffffff,3,0
8410305ffffffff,37,0
840696bffffffff,2,0
8410b5bffffffff,67,0
845e555ffffffff,2,0
846a735ffffffff,5,0
8427683ffffffff,46,0
8418715ffffffff,82,0
844b0e3ffffffff,2,0
845a995ffffffff,1,0
849c59bffffffff,1,0
843596dffffffff,17,0
8469699ffffffff,9,0
843c8bdffffffff,2,0
84374d1ffffffff,2,0
8469b0dffffffff,2,0
847a455ffffffff,1,0
8469719ffffffff,5,0
841fb55ffffffff,856,0
841e2b5ffffffff,3,0
84a92ddffffffff,4,0
8423361ffffffff,1,0
844259dffffffff,51,0
842da49ffffffff,9,1
842d137ffffffff,1,0
8442367ffffffff,17,0
8448ed5ffffffff,3,0
841db2dffffffff,1,0
8420e51ffffffff,2,0
8407537ffffffff,1,0
84a7015ffffffff,4,0
8448c65ffffffff,286,0
84196b5ffffffff,237,0
843e6cbffffffff,6,0
843466dffffffff,1,0
843a857ffffffff,1,0
849c207ffffffff,30,0
