hex,count_good_aircraft,count_bad_aircraft
8450e9dffffffff,1,0
848e4c9ffffffff,2,0
842ab3bffffffff,723,0
840e76bffffffff,10,0
842d4d5ffffffff,13,0
8414d13ffffffff,1,0
8413447ffffffff,1,0
8444ec5ffffffff,254,0
84201a9ffffffff,8,0
8475061ffffffff,2,0
8429889ffffffff,308,0
84265d1ffffffff,291,0
843f73dffffffff,85,0
844ce59ffffffff,9,0
84281b1ffffffff,11,0
8428991ffffffff,174,0
8460863ffffffff,3,0
8466d05ffffffff,3,0
844d313ffffffff,1,0
84581bbffffffff,3,0
848ba97ffffffff,2,0
8407513ffffffff,1,0
8411757ffffffff,7,1
845cac9ffffffff,1,0
84289b7ffffffff,78,0
8438711ffffffff,11,0
8438229ffffffff,15,0
8461703ffffffff,1,0
844383bffffffff,12,0
843da6dffffffff,18,0
8440f07ffffffff,147,0
848a9c9ffffffff,1,0
8412e0bffffffff,23,0
84266cbffffffff,381,0
8430c5bffffffff,6,0
840c8a7ffffffff,4,0
845e0ddffffffff,1,0
841e0a1ffffffff,245,0
841edbdffffffff,165,0
841f43dffffffff,4,0
840b9c3ffffffff,21,0
8428f23ffffffff,181,0
8444a39ffffffff,186,0
843b091ffffffff,1,0
84064c9ffffffff,2,0
844cc45ffffffff,34,0
84a8e01ffffffff,20,0
842c8ebffffffff,7,0
8448e03ffffffff,21,0
842786bffffffff,30,0
8418993ffffffff,2,0
842e761ffffffff,34,0
845ec21ffffffff,1,0
84081a9ffffffff,5,0
8445a55ffffffff,4,0
843a801ffffffff,1,0
845d141ffffffff,83,0
8432d4dffffffff,1,0
844400dffffffff,5,0
84198adffffffff,4,0
840f60bffffffff,2,0
848a341ffffffff,3,0
846d6d1ffffffff,37,0
84a8d33ffffffff,13,0
844316dffffffff,271,0
84a8829ffffffff,11,0
8460ec3ffffffff,1,0
8406035ffffffff,2,0
84325d9ffffffff,1,0
840c0d1ffffffff,9,0
8465ad7ffffffff,6,0
8429b33ffffffff,428,0
845d5abffffffff,1,0
844a365ffffffff,6,0
8419449ffffffff,25,0
843955bffffffff,93,0
8438299ffffffff,49,0
84699a7ffffffff,7,0
843c887ffffffff,29,0
8458967ffffffff,4,0
8419611ffffffff,91,0
841d431ffffffff,2,0
8411051ffffffff,3,0
