hex,count_good_aircraft,count_bad_aircraft
84a968dffffffff,3,0
84545d9ffffffff,2,0
8438519ffffffff,2,0
8426e33ffffffff,256,0
8426767ffffffff,378,0
840f339ffffffff,5,0
8429949ffffffff,415,0
8412807ffffffff,11,0
8410411ffffffff,2,0
8458e51ffffffff,1,0
8426061ffffffff,101,0
8460f31ffffffff,1,0
8427ab9ffffffff,77,0
84279d7ffffffff,73,0
84262b9ffffffff,291,0
8448a07ffffffff,56,0
842b929ffffffff,29,0
847519dffffffff,13,0
845c185ffffffff,3,0
8424b63ffffffff,3,0
8441aebffffffff,2,0
840c5e3ffffffff,1,0
8458007ffffffff,5,0
8441a29ffffffff,68,0
841ec19ffffffff,161,0
84a8e19ffffffff,5,0
8458521ffffffff,2,0
84135d9ffffffff,2,0
847a61dffffffff,9,0
84328e1ffffffff,1,0
842b0edffffffff,89,0
841e8d3ffffffff,212,0
8410591ffffffff,3,0
84321e1ffffffff,1,0
84ad939ffffffff,2,0
8444a4bffffffff,11,0
841f645ffffffff,21,0
8457229ffffffff,1,0
8466201ffffffff,6,0
84c2e83ffffffff,29,0
84138a5ffffffff,1,0
8407053ffffffff,2,0
8443a37ffffffff,81,0
841f667ffffffff,28,0
84430adffffffff,2,0
842eaddffffffff,7,0
84b34adffffffff,3,0
84a78b9ffffffff,8,0
849d487ffffffff,1,0
8439aa9ffffffff,80,0
848c141ffffffff,16,0
841f047ffffffff,136,0
8487aadffffffff,2,0
84a90e7ffffffff,68,0
848f769ffffffff,4,0
844216bffffffff,25,0
841bb35ffffffff,40,0
841aa61ffffffff,43,0
8434c55ffffffff,1,0
841b86dffffffff,32,0
8469495ffffffff,7,0
8463159ffffffff,1,0
848f635ffffffff,3,0
84072bdffffffff,1,0
841846dffffffff,98,0
8406465ffffffff,1,0
846421dffffffff,11,0
841a22dffffffff,2,0
84590c5ffffffff,1,0
84450cdffffffff,9,0
84651a3ffffffff,25,0
844b1e3ffffffff,1,0
8499555ffffffff,1,0
8428cb3ffffffff,10,0
840709bffffffff,1,0
845f5a7ffffffff,2,0
841bb31ffffffff,43,0
841edd3ffffffff,31,0
84a7103ffffffff,39,0
84441cbffffffff,74,0
8422c55ffffffff,1,0
84444b3ffffffff,174,0
840ede9ffffffff,2,0
84424e3ffffffff,2,0
844faa3ffffffff,1,0
841ede1ffffffff,140,0
8426567ffffffff,422,0
8482717ffffffff,2,0
8464f5dffffffff,6,0
84296c7ffffffff,2,0
843cdd3ffffffff,4,0
84410abffffffff,80,0
841844dffffffff,152,0
84416c7ffffffff,18,0
8445829ffffffff,1,0
844b411ffffffff,1,0
8430c9bffffffff,69,0
840f03dffffffff,1,0
843ab17ffffffff,1,0
8429117ffffffff,31,0
847c893ffffffff,1,0
8430d47ffffffff,1,0
849e029ffffffff,1,0
843c8c7ffffffff,4,0
8412dc3ffffffff,76,0
84bc9bbffffffff,1,0
8410207ffffffff,31,0
8473687ffffffff,1,0
84a71c9ffffffff,6,0
8443161ffffffff,153,0
849d66bffffffff,13,0
841821bffffffff,96,0
8426c9dffffffff,387,0
84b32d9ffffffff,9,0
843906bffffffff,218,0
84392e3ffffffff,247,0
8448ae9ffffffff,23,0
84ad94dffffffff,1,0
8495859ffffffff,6,0
84818bbffffffff,11,0
8456aa5ffffffff,1,0
843568bffffffff,12,0
8448f47ffffffff,34,0
8466acdffffffff,21,0
847a607ffffffff,9,0
842d081ffffffff,24,0
8428de5ffffffff,170,0
84b8c25ffffffff,1,0
8435759ffffffff,15,0
8442a51ffffffff,85,0
8461589ffffffff,9,0
840bb4bffffffff,22,0
848c90bffffffff,3,0
844554dffffffff,40,0
840882dffffffff,66,0
8429841ffffffff,245,8
8412c45ffffffff,14,0
845c1b7ffffffff,1,0
840c2b3ffffffff,2,0
8480961ffffffff,3,0
84448abffffffff,156,0
84b99b7ffffffff,10,0
8450cb1ffffffff,2,0
840cf15ffffffff,19,0
843cc61ffffffff,36,0
84be767ffffffff,17,0
843f5adffffffff,43,0
84736cdffffffff,2,0
847ac99ffffffff,2,0
846110bffffffff,4,0
8464707ffffffff,1,0
841023dffffffff,8,0
8495503ffffffff,6,0
8445529ffffffff,14,0
849d18dffffffff,1,0
8469937ffffffff,6,0
8426e95ffffffff,318,0
8434057ffffffff,4,0
84184abffffffff,123,0
8427583ffffffff,434,0
845a94dffffffff,1,0
84654a3ffffffff,1,0
8428947ffffffff,90,0
84a9647ffffffff,4,0
84128b1ffffffff,10,0
8437661ffffffff,1,0
8460325ffffffff,17,0
8450567ffffffff,1,0
8428aa9ffffffff,58,0
845b0e5ffffffff,1,0
8413861ffffffff,37,0
8419003ffffffff,27,0
84298c1ffffffff,257,0
842723dffffffff,17,0
84bc4d7ffffffff,9,0
84b24cdffffffff,11,0
842d9adffffffff,5,0
8462237ffffffff,1,0
84038d5ffffffff,1,0
8448eebffffffff,23,0
842e2d5ffffffff,13,0
845e2edffffffff,2,0
8410903ffffffff,2,0
8486805ffffffff,1,0
848b847ffffffff,7,0
847150dffffffff,1,0
8455b11ffffffff,1,0
8412695ffffffff,7,0
8460869ffffffff,25,0
8422cc7ffffffff,2,0
841cf4dffffffff,2,0
84686ddffffffff,1,0
845d127ffffffff,1,0
8410401ffffffff,3,0
841a8a5ffffffff,4,0
8401351ffffffff,8,0
842f523ffffffff,40,0
843c10bffffffff,9,0
8439433ffffffff,257,0
84be157ffffffff,11,0
848c8a1ffffffff,96,0
8429969ffffffff,185,0
840e729ffffffff,7,0
84736a9ffffffff,1,0
84105b5ffffffff,3,0
8407a45ffffffff,1,0
8414c11ffffffff,1,0
8486a4bffffffff,1,0
841f637ffffffff,14,0
841b1dbffffffff,1,0
84a96b9ffffffff,2,0
840e4b9ffffffff,9,0
845c18dffffffff,1,0
844143dffffffff,103,0
84b3089ffffffff,1,0
840f5edffffffff,17,0
840c8ebffffffff,9,0
84075d3ffffffff,19,0
8402b15ffffffff,1,0
8451447ffffffff,1,0
8445aabffffffff,6,0
8483a37ffffffff,3,0
8429197ffffffff,19,0
84974e5ffffffff,1,0
8456053ffffffff,1,0
8430e21ffffffff,18,0
8438ccbffffffff,1,0
8489351ffffffff,5,0
84502d9ffffffff,1,0
848f01dffffffff,5,0
84bfad3ffffffff,1,0
8438689ffffffff,28,0
8444253ffffffff,28,0
8427541ffffffff,44,0
84280a7ffffffff,25,0
8470615ffffffff,1,0
842d917ffffffff,4,0
845ee35ffffffff,1,0
8442107ffffffff,17,0
8454b65ffffffff,2,0
846523bffffffff,26,0
847b481ffffffff,12,0
84bad41ffffffff,1,0
8472eb3ffffffff,1,0
8408919ffffffff,36,0
84ba765ffffffff,3,0
84074b1ffffffff,19,0
841f6bdffffffff,1,0
844d731ffffffff,1,0
84645e3ffffffff,14,0
8461aadffffffff,7,0
8410ad3ffffffff,8,0
8402db3ffffffff,1,0
84684b1ffffffff,2,0
848c811ffffffff,9,0
84a636dffffffff,2,0
848b519ffffffff,13,0
844b84dffffffff,3,0
847f8a7ffffffff,1,0
8444043ffffffff,23,0
84c2c41ffffffff,12,0
8445727ffffffff,51,0
8445637ffffffff,12,0
8469733ffffffff,6,0
84856c3ffffffff,1,0
840b847ffffffff,9,0
846552dffffffff,6,0
843cc15ffffffff,27,0
8472427ffffffff,1,0
84c22c7ffffffff,2,0
844544dffffffff,15,0
840cf1bffffffff,16,0
841f003ffffffff,97,0
8432961ffffffff,1,0
843b047ffffffff,1,0
8475ad3ffffffff,1,0
84a8d8dffffffff,16,0
842c00bffffffff,106,12
841aa8bffffffff,54,0
84541ddffffffff,1,0
842c4b3ffffffff,2,0
84ba0adffffffff,1,0
841f863ffffffff,252,0
8408895ffffffff,6,0
845ed97ffffffff,3,0
84da8cdffffffff,1,0
843c821ffffffff,2,0
8434339ffffffff,2,0
8442e09ffffffff,1,0
8437633ffffffff,1,0
843f757ffffffff,149,0
8430c59ffffffff,53,0
8406403ffffffff,3,0
84448c3ffffffff,141,0
840ce07ffffffff,6,0
845852bffffffff,1,0
8414c43ffffffff,1,0
84bf143ffffffff,1,0
843ac5dffffffff,1,0
845894dffffffff,6,0
840788bffffffff,1,0
8412a91ffffffff,5,0
843f723ffffffff,26,0
8418457ffffffff,171,0
843a611ffffffff,2,0
841f34bffffffff,86,0
848bb57ffffffff,11,0
846001bffffffff,1,0
