hex,count_good_aircraft,count_bad_aircraft
847502dffffffff,1,0
8430107ffffffff,79,0
844a51bffffffff,1,0
842c8e1ffffffff,4,0
845e705ffffffff,40,0
842912dffffffff,110,0
8418809ffffffff,4,0
843954dffffffff,125,0
842b883ffffffff,168,0
84c993dffffffff,20,1
84a9655ffffffff,10,0
845f113ffffffff,1,0
84648c1ffffffff,1,0
84129d7ffffffff,13,0
8469a97ffffffff,2,0
8453763ffffffff,30,0
8408809ffffffff,24,0
8410841ffffffff,52,0
842b901ffffffff,19,0
842b837ffffffff,65,0
8426dc5ffffffff,247,0
8482285ffffffff,2,0
8430da3ffffffff,4,0
848cb2dffffffff,6,0
8407587ffffffff,12,0
8444597ffffffff,339,0
84675bdffffffff,1,0
842aeb3ffffffff,1,0
8450e67ffffffff,1,0
8418db9ffffffff,1,0
846d605ffffffff,13,0
841f8c5ffffffff,270,0
8432023ffffffff,2,0
84166b5ffffffff,6,0
84536a3ffffffff,40,0
8435a93ffffffff,8,0
8410d55ffffffff,10,0
8427659ffffffff,3,0
8438753ffffffff,4,0
84a68b5ffffffff,1,0
8466113ffffffff,13,0
842a807ffffffff,209,0
8409a31ffffffff,57,0
8423139ffffffff,1,0
8454735ffffffff,1,0
8435293ffffffff,1,0
84be415ffffffff,21,0
840803dffffffff,20,0
842713dffffffff,47,0
841f95dffffffff,256,0
843908dffffffff,119,0
849d011ffffffff,23,0
842cd43ffffffff,52,0
841aa69ffffffff,16,0
8408edbffffffff,22,0
84b829bffffffff,1,0
84b202dffffffff,1,0
84279adffffffff,53,0
84a8c21ffffffff,51,0
846872bffffffff,2,0
84638e7ffffffff,3,0
84235b5ffffffff,4,0
84598e5ffffffff,2,0
8472da5ffffffff,1,0
8466ad1ffffffff,11,0
8464853ffffffff,2,0
84334d7ffffffff,2,0
8464ea7ffffffff,1,0
843af53ffffffff,1,0
841eb5dffffffff,178,1
84485cbffffffff,46,0
8432823ffffffff,1,0
840256dffffffff,1,0
84c2ce5ffffffff,3,0
843a123ffffffff,3,0
844509dffffffff,40,0
8409b05ffffffff,4,0
849c25dffffffff,18,0
8448ca7ffffffff,227,11
841e645ffffffff,1,0
849edc3ffffffff,1,0
842da0dffffffff,48,10
843c8cbffffffff,11,0
8411abdffffffff,104,0
848a01bffffffff,1,0
