hex,count_good_aircraft,count_bad_aircraft
8436f39ffffffff,4,0
84266c9ffffffff,446,0
843cc2dffffffff,66,0
8495a2bffffffff,2,0
84af6c5ffffffff,1,0
841f705ffffffff,1,0
84b2747ffffffff,1,0
8422807ffffffff,1,0
8442d07ffffffff,7,0
842e6c1ffffffff,196,0
844b6b5ffffffff,1,0
84a774bffffffff,1,0
846792dffffffff,9,0
8450c39ffffffff,1,0
842860bffffffff,7,0
8428a81ffffffff,33,0
843da37ffffffff,113,0
84b2cadffffffff,2,0
84446a9ffffffff,292,0
842b953ffffffff,37,0
8419837ffffffff,1,0
842a19dffffffff,71,0
84645b1ffffffff,1,0
8468407ffffffff,11,0
841a101ffffffff,2,0
8430c21ffffffff,1,0
84a8cd3ffffffff,4,0
843ae11ffffffff,1,0
840c767ffffffff,5,0
842726bffffffff,1,0
84099bbffffffff,58,0
843d9a9ffffffff,19,0
844c8a5ffffffff,3,0
8413aa7ffffffff,2,0
844d96bffffffff,1,0
8416c91ffffffff,2,0
842b19dffffffff,6,0
842c913ffffffff,304,0
8424da3ffffffff,30,0
84b2693ffffffff,5,0
8410c45ffffffff,18,0
843e6c5ffffffff,16,0
848f2b9ffffffff,26,0
84a8e11ffffffff,8,0
8440e23ffffffff,207,1
842b165ffffffff,67,0
8428895ffffffff,80,0
8448145ffffffff,38,0
843a5a5ffffffff,3,0
84108ebffffffff,2,0
84be997ffffffff,1,0
8406753ffffffff,3,0
841089dffffffff,9,0
8466e3dffffffff,20,0
8443a33ffffffff,240,0
84bcc19ffffffff,30,0
841f0c7ffffffff,80,0
84464d9ffffffff,9,0
8444da5ffffffff,363,0
8419a27ffffffff,1,0
8409b11ffffffff,3,0
84705c3ffffffff,1,0
84385ddffffffff,1,0
84c2cd3ffffffff,16,0
843f6cdffffffff,90,1
8464595ffffffff,1,0
848c9e5ffffffff,3,0
8428707ffffffff,2,0
844b4d3ffffffff,1,0
841868dffffffff,287,0
84bb0dbffffffff,35,0
8427721ffffffff,30,0
848c933ffffffff,4,0
84088b3ffffffff,2,0
840d4ebffffffff,1,0
84a8009ffffffff,38,0
8426ed7ffffffff,320,0
842e68dffffffff,86,0
846a01dffffffff,1,0
84384d9ffffffff,3,0
8410629ffffffff,1,0
841ba8bffffffff,2,0
84651e5ffffffff,12,0
8450e15ffffffff,2,0
842e0bdffffffff,38,0
8427367ffffffff,12,0
841d98bffffffff,1,0
84648e5ffffffff,2,0
845eebdffffffff,2,0
846da93ffffffff,1,0
8448db9ffffffff,254,0
8465a61ffffffff,21,0
842aa89ffffffff,683,0
8446541ffffffff,2,0
8418211ffffffff,76,0
844d633ffffffff,2,0
8400ae3ffffffff,1,0
8418743ffffffff,37,0
84bfad5ffffffff,1,0
8481997ffffffff,11,0
8408ee5ffffffff,1,0
841a80bffffffff,14,0
84279d3ffffffff,56,0
841d2a7ffffffff,1,0
84028c9ffffffff,1,0
841af67ffffffff,8,0
84445adffffffff,249,5
841e891ffffffff,38,0
841bb23ffffffff,9,0
84291bbffffffff,12,0
8426185ffffffff,220,0
8429a13ffffffff,540,2
8412469ffffffff,39,0
8412abdffffffff,8,0
8411141ffffffff,3,0
8441027ffffffff,91,0
8404697ffffffff,1,0
841f093ffffffff,48,0
842b599ffffffff,2,0
848121dffffffff,9,0
84b8839ffffffff,2,0
8419637ffffffff,19,0
84ce8a1ffffffff,12,0
840735dffffffff,1,0
8429a3dffffffff,552,1
8466ae1ffffffff,8,0
8481a1bffffffff,62,0
844d847ffffffff,1,0
8411765ffffffff,2,0
84ce8cdffffffff,9,0
8461a91ffffffff,8,0
8410239ffffffff,28,0
848298bffffffff,3,0
84ada57ffffffff,1,0
843f635ffffffff,47,0
84a8d91ffffffff,9,0
842b9d3ffffffff,97,0
844c961ffffffff,29,0
8428429ffffffff,1,0
8418033ffffffff,26,0
8408289ffffffff,2,0
840b0c3ffffffff,1,0
843d93bffffffff,206,0
844cc65ffffffff,56,0
844cf65ffffffff,31,0
849c263ffffffff,1,0
843b191ffffffff,4,0
8426d41ffffffff,206,0
8439519ffffffff,145,0
8481647ffffffff,6,0
8411ab1ffffffff,52,0
8409847ffffffff,25,0
843d8b3ffffffff,6,0
8423a2bffffffff,1,0
843a05bffffffff,2,0
84a80abffffffff,23,0
847af3dffffffff,2,0
8480a6dffffffff,10,0
8412dadffffffff,18,0
84692a1ffffffff,1,0
84a8599ffffffff,1,0
8436613ffffffff,4,0
842691bffffffff,153,0
84270ddffffffff,73,0
8429595ffffffff,1,0
840b909ffffffff,2,0
8485a43ffffffff,2,0
840e9ddffffffff,2,0
8419619ffffffff,71,0
84a7843ffffffff,15,0
8419709ffffffff,16,0
846662dffffffff,1,0
846d303ffffffff,2,0
842c85bffffffff,7,0
842ac9dffffffff,1,0
84349dbffffffff,1,0
848b951ffffffff,2,0
8418627ffffffff,151,0
842f8adffffffff,2,0
843e6c7ffffffff,3,0
8436b39ffffffff,1,0
842e765ffffffff,73,0
84b8863ffffffff,2,0
84838d9ffffffff,1,0
849a0d3ffffffff,2,0
8444da7ffffffff,318,0
841e1c3ffffffff,316,0
842b407ffffffff,3,0
84a511bffffffff,1,0
842d049ffffffff,282,0
84c36e3ffffffff,1,0
843f2e3ffffffff,2,0
841273dffffffff,36,0
8438e91ffffffff,3,0
84a713dffffffff,19,0
84088b9ffffffff,8,0
8427495ffffffff,454,0
848f569ffffffff,3,0
849ea23ffffffff,1,0
84451ddffffffff,10,0
844d415ffffffff,4,0
841ee89ffffffff,198,0
841ab21ffffffff,23,0
8410765ffffffff,2,0
84a8ab3ffffffff,34,1
84a0487ffffffff,2,0
844caa1ffffffff,43,0
8464e49ffffffff,1,0
8494eabffffffff,1,0
84111bbffffffff,44,0
844c88dffffffff,2,0
843db27ffffffff,130,0
848a31dffffffff,5,0
844e481ffffffff,2,0
8422209ffffffff,1,0
8464145ffffffff,11,0
842e667ffffffff,194,0
8419aa9ffffffff,1,0
84801cdffffffff,4,0
84bcec3ffffffff,4,0
849b9ebffffffff,2,0
8427739ffffffff,25,0
84098c7ffffffff,4,0
8469643ffffffff,35,0
84bec67ffffffff,5,0
84be513ffffffff,2,0
8497ab3ffffffff,3,0
8465821ffffffff,2,0
8408d4dffffffff,4,0
84a72c5ffffffff,2,0
8418e31ffffffff,1,0
84a9507ffffffff,1,0
84a91d1ffffffff,19,0
8428c51ffffffff,2,0
844d537ffffffff,1,0
8433761ffffffff,1,0
8460249ffffffff,1,0
8441715ffffffff,47,0
843515bffffffff,7,0
844cd55ffffffff,90,0
8412f5dffffffff,6,0
841eeabffffffff,103,0
8420e17ffffffff,1,0
84274b1ffffffff,456,0
84be5d7ffffffff,49,0
8416861ffffffff,2,0
8488d21ffffffff,4,0
8465b67ffffffff,104,0
843f6cbffffffff,35,1
8455141ffffffff,4,0
8440c57ffffffff,1,0
8480637ffffffff,1,0
848d9e3ffffffff,1,0
845202dffffffff,2,0
842b965ffffffff,5,0
849d2a5ffffffff,42,0
842a003ffffffff,10,0
8428a3bffffffff,77,0
84752b9ffffffff,3,0
8461837ffffffff,21,0
841e809ffffffff,135,0
842a59dffffffff,1,0
848ca87ffffffff,39,0
8441327ffffffff,20,0
8475297ffffffff,9,0
8418363ffffffff,2,0
8442053ffffffff,72,0
84660e1ffffffff,47,0
8460b29ffffffff,16,0
84b99c7ffffffff,1,0
843a657ffffffff,1,0
8429055ffffffff,66,0
84308e9ffffffff,2,0
84291b9ffffffff,1,0
844bb17ffffffff,37,0
849d017ffffffff,27,0
8441151ffffffff,72,0
848a9b7ffffffff,2,0
84b9a91ffffffff,2,0
84bed83ffffffff,14,0
8481469ffffffff,7,0
8488763ffffffff,2,0
842045bffffffff,5,0
844cc19ffffffff,28,0
843593bffffffff,2,0
8421631ffffffff,16,0
84a2443ffffffff,3,0
84268d9ffffffff,296,0
8465987ffffffff,33,0
8445091ffffffff,46,0
8442ea3ffffffff,16,0
846843dffffffff,11,0
84459ddffffffff,39,0
842b139ffffffff,74,0
84a8341ffffffff,25,0
84a8825ffffffff,6,0
848f427ffffffff,3,0
845ec65ffffffff,2,0
8422f23ffffffff,2,0
8471625ffffffff,1,0
845222bffffffff,14,0
84480d9ffffffff,12,0
841e983ffffffff,68,0
84b2413ffffffff,2,0
845d5ebffffffff,1,0
8429b0dffffffff,203,1
84129d1ffffffff,5,0
8457603ffffffff,1,0
842085bffffffff,1,0
842d735ffffffff,13,0
8458521ffffffff,1,0
8443121ffffffff,100,0
8460363ffffffff,11,0
84ba2e9ffffffff,5,0
84b9a97ffffffff,1,0
841a297ffffffff,4,0
841609bffffffff,4,0
844a329ffffffff,5,0
841ee55ffffffff,277,0
84a5021ffffffff,1,0
8445095ffffffff,40,0
8418005ffffffff,61,0
84062d5ffffffff,3,0
84bece5ffffffff,1,0
8408b59ffffffff,9,0
848234bffffffff,3,0
84be507ffffffff,2,0
84bb56bffffffff,30,0
8448aadffffffff,5,0
841a8edffffffff,2,0
8468553ffffffff,13,0
844e30bffffffff,1,0
84a8911ffffffff,9,0
8468b19ffffffff,2,0
84a8259ffffffff,10,0
8480347ffffffff,30,0
8440f09ffffffff,20,0
846014bffffffff,14,0
845e765ffffffff,1,0
843914dffffffff,143,0
843924bffffffff,28,0
84beabdffffffff,7,0
8409ab1ffffffff,2,0
848c903ffffffff,3,0
84699c9ffffffff,27,0
842a92bffffffff,547,0
8411069ffffffff,67,0
8422185ffffffff,1,0
8465ab3ffffffff,4,0
8448e5bffffffff,95,0
8440f1bffffffff,63,2
8435abdffffffff,2,0
84660a3ffffffff,118,0
842e1a9ffffffff,6,0
84a8325ffffffff,27,0
8412149ffffffff,1,0
848cf6bffffffff,6,0
84458d9ffffffff,11,0
84894adffffffff,1,0
840e8dbffffffff,1,0
84b2dabffffffff,5,0
84515b7ffffffff,1,0
842a03bffffffff,5,0
846523dffffffff,94,0
848c307ffffffff,5,0
8408c3bffffffff,3,0
840ea25ffffffff,1,0
8481011ffffffff,6,0
842a213ffffffff,1,0
843b183ffffffff,2,0
84b2e07ffffffff,2,0
840bb4bffffffff,9,0
8435857ffffffff,1,0
847a019ffffffff,6,0
8426047ffffffff,71,0
8439045ffffffff,139,0
841b9b7ffffffff,41,0
8449951ffffffff,316,2
8440eebffffffff,28,0
848c101ffffffff,3,0
841f8cbffffffff,354,0
84649d5ffffffff,2,0
8412e9bffffffff,40,0
845971dffffffff,1,0
840baa9ffffffff,1,0
84459a1ffffffff,10,0
844d69bffffffff,7,0
8426715ffffffff,194,0
8427005ffffffff,43,0
841edc1ffffffff,167,0
84424b7ffffffff,45,0
8409b13ffffffff,8,0
84812e5ffffffff,20,0
8462313ffffffff,1,0
84394c7ffffffff,166,0
842ae45ffffffff,19,0
846984bffffffff,2,0
84298bdffffffff,30,0
841f707ffffffff,20,0
8422e81ffffffff,9,0
84452abffffffff,4,0
84831b3ffffffff,1,0
848f051ffffffff,3,0
8445a03ffffffff,2,0
84bb569ffffffff,22,0
8448967ffffffff,10,0
840f2e3ffffffff,3,0
8429a45ffffffff,513,1
842920dffffffff,3,0
842c113ffffffff,8,0
8481a89ffffffff,4,0
842b9d9ffffffff,123,0
848030bffffffff,13,0
846a5a3ffffffff,2,0
843c14dffffffff,6,0
846a2abffffffff,1,0
8436adbffffffff,1,0
84192d5ffffffff,2,0
846a65dffffffff,2,0
8406731ffffffff,1,0
8460d67ffffffff,11,0
846d287ffffffff,1,0
848f76bffffffff,5,0
842e23bffffffff,24,0
845898bffffffff,3,0
84b2dc1ffffffff,5,0
8443837ffffffff,6,0
846c26bffffffff,1,0
848e703ffffffff,2,0
84276cdffffffff,9,0
8453747ffffffff,51,0
8418b0bffffffff,4,0
84652c7ffffffff,23,0
8426561ffffffff,556,0
8412f1bffffffff,10,0
842b727ffffffff,1,0
842a597ffffffff,3,0
848b053ffffffff,8,0
8406f27ffffffff,3,0
844b351ffffffff,13,0
842615bffffffff,54,0
8462315ffffffff,1,0
840e483ffffffff,2,0
842a931ffffffff,596,0
8467933ffffffff,27,0
8458d95ffffffff,1,0
8465ad3ffffffff,5,0
8429311ffffffff,3,0
84275cbffffffff,165,1
841f711ffffffff,19,0
8434111ffffffff,1,0
8442197ffffffff,9,0
8470b6dffffffff,1,0
844bb33ffffffff,62,0
841108dffffffff,5,0
841e98dffffffff,39,0
84acb3dffffffff,1,0
847ad83ffffffff,14,0
8445027ffffffff,12,0
8439345ffffffff,28,0
8442e17ffffffff,1,0
8496421ffffffff,1,0
84454cdffffffff,12,0
84101ebffffffff,5,0
8439b31ffffffff,37,0
8443ae1ffffffff,154,0
841f463ffffffff,59,0
84694e3ffffffff,47,0
842a8dbffffffff,325,0
8420a3dffffffff,3,0
846818bffffffff,1,0
8426d87ffffffff,98,0
84206d7ffffffff,6,0
8408eb9ffffffff,1,0
84456dbffffffff,74,0
848f533ffffffff,21,0
8444c95ffffffff,253,0
8448f2dffffffff,16,0
8448dc5ffffffff,327,0
841380dffffffff,1,0
84bcec1ffffffff,3,0
84270c9ffffffff,20,0
8428dedffffffff,159,0
84a88a9ffffffff,75,0
847ad63ffffffff,1,0
843f697ffffffff,9,6
841ea29ffffffff,169,0
8419591ffffffff,376,0
84be8c3ffffffff,37,0
848a35dffffffff,4,0
843db1bffffffff,98,0
8453437ffffffff,73,0
84609b1ffffffff,29,0
846083dffffffff,10,0
842f809ffffffff,1,0
84265cdffffffff,202,0
845ecedffffffff,1,0
84264b3ffffffff,292,0
8441635ffffffff,78,0
841c981ffffffff,1,0
8434e01ffffffff,1,0
8464b4dffffffff,10,0
8410627ffffffff,4,0
8448549ffffffff,35,0
8438685ffffffff,35,0
841aa69ffffffff,27,0
844b845ffffffff,36,0
