hex,count_good_aircraft,count_bad_aircraft
842ad29ffffffff,221,0
848786dffffffff,2,0
848b051ffffffff,7,0
84ba009ffffffff,1,0
842b8a1ffffffff,84,0
8482d99ffffffff,4,0
84be513ffffffff,3,0
84725b7ffffffff,1,0
84136b7ffffffff,1,0
844ccb7ffffffff,1,0
842b2cbffffffff,83,0
840c09dffffffff,6,0
8464351ffffffff,18,0
841acb1ffffffff,1,0
842ba87ffffffff,99,0
8462a09ffffffff,3,0
842cda9ffffffff,5,0
8439203ffffffff,106,0
8494cedffffffff,1,0
8410f57ffffffff,11,0
84398ddffffffff,16,0
8412f4dffffffff,5,0
84458c3ffffffff,41,0
840f685ffffffff,1,0
844d235ffffffff,1,0
84452abffffffff,6,0
849c257ffffffff,10,0
845e9e9ffffffff,1,0
84442cdffffffff,10,0
841ecb5ffffffff,42,0
842a289ffffffff,1,0
8495657ffffffff,2,0
8430e03ffffffff,267,1
8462829ffffffff,1,0
841e015ffffffff,113,0
8465235ffffffff,102,0
840cd53ffffffff,1,0
8410ac9ffffffff,47,0
847eb23ffffffff,1,0
842a831ffffffff,249,0
8445263ffffffff,16,0
84062edffffffff,1,0
8495159ffffffff,1,0
8430d3dffffffff,23,0
842e721ffffffff,46,0
841ecb1ffffffff,94,0
84b9a33ffffffff,3,0
84a8e37ffffffff,12,0
8442f6bffffffff,46,0
8411095ffffffff,12,0
845f42dffffffff,1,0
84659a1ffffffff,11,0
8416d17ffffffff,2,0
8432d31ffffffff,2,0
848b869ffffffff,12,0
84692e5ffffffff,1,0
84280b3ffffffff,17,0
845c2b5ffffffff,1,0
84392c5ffffffff,89,0
846661dffffffff,2,0
8438515ffffffff,1,0
8408e4bffffffff,8,0
8448a81ffffffff,17,0
843f153ffffffff,3,0
84382edffffffff,36,0
840e9ebffffffff,5,0
843566dffffffff,1,0
8447b3dffffffff,1,0
8438cc5ffffffff,4,0
8429a13ffffffff,451,1
8427331ffffffff,22,0
84444b5ffffffff,238,0
8475345ffffffff,1,0
8451293ffffffff,1,0
843b293ffffffff,1,0
84485c1ffffffff,85,0
8418617ffffffff,218,0
8496427ffffffff,1,0
84432b7ffffffff,14,0
841b487ffffffff,8,0
8479803ffffffff,1,0
84992cbffffffff,1,0
846b4bbffffffff,1,0
8419b35ffffffff,6,0
841d45bffffffff,1,0
8481815ffffffff,17,0
842ad13ffffffff,75,0
8464233ffffffff,1,0
844416bffffffff,111,0
84a8aa7ffffffff,147,0
84180a1ffffffff,43,0
842da67ffffffff,45,11
84609a9ffffffff,35,0
8428889ffffffff,141,0
848f097ffffffff,11,0
8418703ffffffff,39,0
84189e7ffffffff,2,0
843cc31ffffffff,22,0
841d5ddffffffff,5,0
840f6d7ffffffff,1,0
842ad55ffffffff,343,0
8448051ffffffff,37,0
840665dffffffff,2,0
8429b07ffffffff,270,0
842b887ffffffff,82,0
842a437ffffffff,14,0
84392abffffffff,110,0
