hex,count_good_aircraft,count_bad_aircraft
841ecbbffffffff,27,1
8408f1dffffffff,6,0
84202cbffffffff,13,0
84a8a49ffffffff,2,0
848d455ffffffff,1,0
841cc5bffffffff,1,0
84c2ed5ffffffff,7,0
8486801ffffffff,1,0
8440501ffffffff,3,0
84225e9ffffffff,1,0
844980dffffffff,93,0
8446091ffffffff,1,0
84818a9ffffffff,2,0
8487953ffffffff,3,0
84679c3ffffffff,5,0
841b817ffffffff,3,0
841a659ffffffff,3,0
8438559ffffffff,4,0
84b269bffffffff,4,0
841b13dffffffff,1,0
845696dffffffff,1,0
84098e7ffffffff,30,0
840812bffffffff,12,0
84b85d9ffffffff,3,0
844106dffffffff,18,0
84190adffffffff,21,0
84438cbffffffff,21,0
844d969ffffffff,3,0
84394a9ffffffff,59,0
843f699ffffffff,102,1
8458089ffffffff,2,0
84200c5ffffffff,8,0
8428dd3ffffffff,29,0
841b6cbffffffff,16,0
847ae09ffffffff,6,0
84bed67ffffffff,58,0
8439741ffffffff,201,0
845f5a1ffffffff,8,0
84685cdffffffff,4,0
84c2eabffffffff,5,0
8444755ffffffff,3,0
841a207ffffffff,2,0
8481b13ffffffff,1,0
84b21b1ffffffff,11,0
84ba6bbffffffff,1,0
8425697ffffffff,3,0
842a583ffffffff,2,0
84448c5ffffffff,257,0
841f299ffffffff,103,0
8409591ffffffff,10,0
848f059ffffffff,1,0
842a999ffffffff,182,0
8434c49ffffffff,2,0
84beeebffffffff,1,0
8434061ffffffff,6,0
8406803ffffffff,3,0
8460117ffffffff,28,0
8465343ffffffff,35,0
849c4b3ffffffff,27,0
8444c4dffffffff,237,0
8410069ffffffff,7,0
84b8b47ffffffff,1,0
843a1c1ffffffff,1,0
84438c1ffffffff,146,1
8418917ffffffff,4,0
8419927ffffffff,1,0
84be0edffffffff,52,0
846899dffffffff,6,0
8480045ffffffff,7,0
847a019ffffffff,5,0
84690e9ffffffff,6,0
848f285ffffffff,4,0
8412029ffffffff,2,0
841a45dffffffff,1,0
