hex,count_good_aircraft,count_bad_aircraft
8427a0bffffffff,95,0
841999dffffffff,3,0
8449b35ffffffff,36,0
8434995ffffffff,3,0
84bf98dffffffff,1,0
846505bffffffff,59,0
8410a2bffffffff,8,0
845cd07ffffffff,1,0
84098a7ffffffff,55,0
842b869ffffffff,14,0
8444369ffffffff,1,0
846892dffffffff,1,0
8458a37ffffffff,1,0
842b285ffffffff,35,0
841e025ffffffff,356,0
84184c5ffffffff,47,0
84126bbffffffff,6,0
840f493ffffffff,6,0
844cd23ffffffff,5,0
8466b4bffffffff,35,0
846a349ffffffff,1,0
8432c53ffffffff,2,0
845d367ffffffff,41,0
840e315ffffffff,1,0
842d803ffffffff,1,0
8453689ffffffff,385,0
84384e1ffffffff,10,0
8461897ffffffff,168,0
8426031ffffffff,145,0
8439829ffffffff,2,0
845c8cbffffffff,2,0
8437295ffffffff,2,0
842b327ffffffff,20,0
84b3635ffffffff,2,0
84166c3ffffffff,8,0
8467723ffffffff,18,0
842a943ffffffff,311,0
84498b1ffffffff,16,0
848a353ffffffff,5,0
842db19ffffffff,1,0
84442c1ffffffff,13,0
84382c1ffffffff,2,0
844b697ffffffff,76,0
84679ddffffffff,1,0
842e03bffffffff,20,0
84bcc19ffffffff,31,0
843aa51ffffffff,1,0
84bb70dffffffff,42,0
8408831ffffffff,14,0
8412d31ffffffff,106,0
841e32dffffffff,455,0
845d929ffffffff,1,0
847500dffffffff,2,0
8444491ffffffff,282,0
84bea59ffffffff,1,0
8439421ffffffff,126,0
8445501ffffffff,12,0
84192bdffffffff,18,0
8428b31ffffffff,53,0
8439841ffffffff,4,0
84661b5ffffffff,5,0
84951d7ffffffff,1,0
84b261dffffffff,7,0
842029bffffffff,1,0
844eca1ffffffff,1,0
841e211ffffffff,56,0
8467293ffffffff,15,0
84a2727ffffffff,1,0
848c8a1ffffffff,57,0
84bb6bbffffffff,1,0
84278adffffffff,49,0
8410a81ffffffff,15,0
84be537ffffffff,17,0
842f59dffffffff,182,0
84262e9ffffffff,201,0
8412763ffffffff,6,0
8439b33ffffffff,8,0
840ef17ffffffff,1,0
8410a51ffffffff,74,0
84b36b9ffffffff,5,0
8444d11ffffffff,635,1
848916dffffffff,1,0
848b809ffffffff,10,0
8412697ffffffff,5,0
848a243ffffffff,1,0
848ca29ffffffff,1,0
8448d21ffffffff,97,0
84b302dffffffff,3,0
8448807ffffffff,21,0
8466197ffffffff,101,0
84a8351ffffffff,79,0
842f815ffffffff,1,0
8421369ffffffff,3,0
84185c7ffffffff,3,0
8442e07ffffffff,9,0
8481a11ffffffff,71,1
843cda7ffffffff,3,0
8442029ffffffff,60,0
84730cdffffffff,1,0
840ca8dffffffff,5,0
841a453ffffffff,2,0
847d257ffffffff,1,0
840cac7ffffffff,5,0
848a0a7ffffffff,2,0
846c623ffffffff,1,0
84a5111ffffffff,1,0
8456dc5ffffffff,4,0
84069bbffffffff,1,0
8418753ffffffff,254,0
844cc91ffffffff,2,0
8410ddbffffffff,11,0
841859bffffffff,196,0
844999dffffffff,36,0
843b23dffffffff,3,0
84025a3ffffffff,1,0
8425697ffffffff,2,0
8422cd7ffffffff,1,0
841eae5ffffffff,86,0
84104d7ffffffff,1,0
840f6c5ffffffff,1,0
8426e11ffffffff,164,0
844b913ffffffff,22,0
84609a5ffffffff,42,0
84bee19ffffffff,9,0
84be449ffffffff,155,0
84180bdffffffff,22,0
842d9e9ffffffff,1,0
842ee1bffffffff,1,0
844404bffffffff,44,0
848b243ffffffff,4,0
84bcec3ffffffff,3,0
84b9a9dffffffff,2,0
84659adffffffff,28,0
843e661ffffffff,117,1
8466c31ffffffff,6,0
8468137ffffffff,2,0
8430e23ffffffff,92,0
8470e91ffffffff,3,0
8443887ffffffff,58,0
849d1e3ffffffff,4,0
8426b59ffffffff,53,0
8465517ffffffff,1,0
842c6c3ffffffff,37,0
8450d23ffffffff,1,0
8428ea7ffffffff,7,0
842d1cbffffffff,93,1
84262cbffffffff,185,0
84bb0d1ffffffff,24,0
8481047ffffffff,12,0
849af07ffffffff,3,0
849a4d1ffffffff,1,0
84a8327ffffffff,1,0
8475089ffffffff,18,0
842ab45ffffffff,170,0
84458e7ffffffff,4,0
84449b7ffffffff,3,0
8459659ffffffff,1,0
8420233ffffffff,21,0
846b74bffffffff,1,0
8461923ffffffff,11,0
84a8a2dffffffff,3,0
8448c23ffffffff,5,0
84bcd0dffffffff,1,0
842a83dffffffff,267,0
8408ccbffffffff,3,0
84278cdffffffff,52,0
846964dffffffff,31,0
8410d55ffffffff,9,0
8412dabffffffff,20,0
84536adffffffff,3,0
84aca07ffffffff,1,0
8483ad9ffffffff,1,0
8436821ffffffff,1,0
844548bffffffff,2,0
84b2c55ffffffff,64,0
