hex,count_good_aircraft,count_bad_aircraft
8428b21ffffffff,152,0
8406147ffffffff,1,0
844ce13ffffffff,45,0
848a003ffffffff,3,0
845d08dffffffff,1,0
842c0b7ffffffff,37,0
84828b9ffffffff,1,0
84539c1ffffffff,2,0
844449bffffffff,246,0
842c985ffffffff,2,0
844cee5ffffffff,204,0
8408a85ffffffff,6,0
84a9501ffffffff,1,0
842f31dffffffff,1,0
84679e9ffffffff,2,0
841fae9ffffffff,542,0
8409963ffffffff,29,0
8445721ffffffff,37,0
84be419ffffffff,27,0
8413ad3ffffffff,2,0
841ab15ffffffff,33,0
84b2e03ffffffff,3,0
8426c19ffffffff,449,1
840cf49ffffffff,9,0
8402cc5ffffffff,2,0
8430023ffffffff,3,0
8418517ffffffff,20,0
842b147ffffffff,31,0
8445701ffffffff,17,0
848f63dffffffff,2,0
8410885ffffffff,2,0
8458e93ffffffff,2,0
846136bffffffff,1,0
8467459ffffffff,12,0
8444ebdffffffff,393,0
84384bbffffffff,4,0
8448549ffffffff,43,0
841f1c3ffffffff,101,0
842ea87ffffffff,2,0
84a881bffffffff,70,0
84692dbffffffff,1,0
8408e57ffffffff,4,0
841bb57ffffffff,16,0
84ad12bffffffff,2,0
84b9a31ffffffff,4,0
8410ab7ffffffff,39,0
843da31ffffffff,129,0
8406d5bffffffff,2,0
841e2c5ffffffff,97,0
84bed59ffffffff,16,0
8430c11ffffffff,45,0
8435283ffffffff,1,0
8467b63ffffffff,2,0
8489167ffffffff,2,0
8444e83ffffffff,447,0
843d92dffffffff,11,0
84bb081ffffffff,22,0
849f621ffffffff,1,0
8426a43ffffffff,47,0
84bb707ffffffff,8,0
8426e91ffffffff,225,0
8428d39ffffffff,23,0
842f5abffffffff,360,0
84ba75bffffffff,1,0
843b4b9ffffffff,3,0
843b685ffffffff,2,0
84a8c5dffffffff,3,0
8454ae9ffffffff,7,0
843568dffffffff,39,0
84bcee5ffffffff,5,0
8442ca9ffffffff,37,0
842e447ffffffff,19,0
8414841ffffffff,23,0
842cf21ffffffff,39,0
8438dabffffffff,8,0
84bb535ffffffff,5,0
8418edbffffffff,11,0
842996dffffffff,221,0
84bf967ffffffff,1,0
8457659ffffffff,1,0
84c2e2dffffffff,1,0
846d4c9ffffffff,1,0
843d34bffffffff,11,0
840b1c5ffffffff,2,0
84da9e9ffffffff,2,0
84be345ffffffff,1,0
8419241ffffffff,15,0
842e615ffffffff,206,0
8428a0bffffffff,78,0
84609b7ffffffff,96,0
8445445ffffffff,15,0
842a561ffffffff,3,0
842021dffffffff,3,0
