hex,count_good_aircraft,count_bad_aircraft
84186adffffffff,187,0
84a8005ffffffff,30,0
84a70adffffffff,4,0
842831dffffffff,146,0
8418127ffffffff,17,0
8469223ffffffff,5,0
84a919dffffffff,34,0
8428d89ffffffff,74,0
84a70e5ffffffff,6,0
8419499ffffffff,307,0
841cf57ffffffff,1,0
841958bffffffff,449,3
842b335ffffffff,127,0
841a94bffffffff,64,0
841019dffffffff,1,0
843f4b9ffffffff,92,3
8450cdbffffffff,1,0
843da57ffffffff,126,0
846841bffffffff,5,0
845510bffffffff,2,0
84b222bffffffff,13,0
842a62bffffffff,1,0
842a003ffffffff,6,0
845e087ffffffff,2,0
8427631ffffffff,90,0
8426e2dffffffff,247,0
8426a67ffffffff,46,0
848f2c7ffffffff,21,0
8468307ffffffff,2,0
84638d9ffffffff,5,0
8414d97ffffffff,1,0
843a247ffffffff,1,0
8480649ffffffff,1,0
848c8a7ffffffff,77,0
8469883ffffffff,1,0
848e62dffffffff,119,0
84695c7ffffffff,28,0
848d01dffffffff,3,0
8410c25ffffffff,43,0
843ae09ffffffff,1,0
846d253ffffffff,2,0
849c26bffffffff,1,0
8447525ffffffff,1,0
8467691ffffffff,3,0
8436e41ffffffff,1,0
844e0bbffffffff,1,0
840e8d1ffffffff,2,0
84be347ffffffff,3,0
8434031ffffffff,1,0
841e023ffffffff,221,0
8423415ffffffff,2,0
841ac91ffffffff,3,0
8444c31ffffffff,428,0
84601cdffffffff,17,0
8408e81ffffffff,2,0
84658b5ffffffff,159,0
844bb2bffffffff,34,0
841253dffffffff,9,0
8480b5bffffffff,3,0
8442435ffffffff,2,0
845373dffffffff,16,0
84390e1ffffffff,185,0
848cb37ffffffff,14,0
84215a1ffffffff,2,0
840cdc9ffffffff,1,0
84270d1ffffffff,37,0
8406125ffffffff,4,0
840e4d7ffffffff,6,0
842a981ffffffff,235,0
8432947ffffffff,4,0
8466b21ffffffff,12,0
84256b1ffffffff,6,0
841d413ffffffff,3,0
8448d65ffffffff,194,0
8427435ffffffff,126,0
8448ca3ffffffff,160,0
845f08bffffffff,6,0
84452d5ffffffff,3,0
843f445ffffffff,75,0
8442819ffffffff,1,0
843ca15ffffffff,12,0
849464dffffffff,2,0
84a8705ffffffff,4,0
8427ad7ffffffff,73,0
84b2615ffffffff,4,0
840f681ffffffff,1,0
84ceaa5ffffffff,1,0
84442c1ffffffff,14,0
8418f05ffffffff,3,0
842166bffffffff,1,0
8459521ffffffff,1,0
849540dffffffff,2,0
8426295ffffffff,310,0
8470681ffffffff,1,0
84371b5ffffffff,1,0
84392c7ffffffff,161,0
8460aabffffffff,51,0
8458c51ffffffff,5,0
8468105ffffffff,38,0
8426ed5ffffffff,496,1
8410f45ffffffff,21,0
841e2adffffffff,84,1
843663dffffffff,1,0
8410629ffffffff,1,0
8412485ffffffff,6,0
8438585ffffffff,10,0
8450901ffffffff,1,0
845d2adffffffff,3,0
84b8a97ffffffff,9,0
84a86a3ffffffff,1,0
843b2abffffffff,2,0
84415cbffffffff,129,0
84309ddffffffff,28,0
842c88bffffffff,5,0
845d261ffffffff,15,0
84b8aadffffffff,3,0
8410d45ffffffff,4,0
8426e23ffffffff,258,0
8416dd9ffffffff,1,0
84a7303ffffffff,91,0
84698abffffffff,38,0
8480731ffffffff,1,0
845641bffffffff,4,0
843292bffffffff,1,0
8460335ffffffff,36,0
842e6c5ffffffff,250,0
