hex,count_good_aircraft,count_bad_aircraft
8426197ffffffff,174,0
848c9e3ffffffff,11,0
842cb3dffffffff,1,0
841023dffffffff,14,1
84444c3ffffffff,355,0
842c057ffffffff,26,0
8426ee7ffffffff,125,0
84081cbffffffff,27,0
8431885ffffffff,3,0
8453349ffffffff,78,0
846534dffffffff,9,0
846a283ffffffff,1,0
8406f37ffffffff,4,0
84452bdffffffff,10,0
841f127ffffffff,480,0
84a91a9ffffffff,1,0
8412037ffffffff,2,0
847b70bffffffff,2,0
8438063ffffffff,3,0
84679b1ffffffff,22,0
842e467ffffffff,5,0
846899bffffffff,8,0
84a8cc7ffffffff,1,0
843db07ffffffff,46,0
845d307ffffffff,49,0
841e2a5ffffffff,147,0
8410d8dffffffff,9,0
8466229ffffffff,17,0
84381bbffffffff,1,0
841901bffffffff,12,0
8412c43ffffffff,45,0
840986dffffffff,24,0
842a5dbffffffff,16,0
848c9b5ffffffff,3,0
8406567ffffffff,1,0
842b5cbffffffff,1,0
84c2c19ffffffff,26,0
84500cdffffffff,2,0
84399edffffffff,4,0
846522dffffffff,112,0
8429923ffffffff,167,0
8406dd7ffffffff,5,0
8448e47ffffffff,30,0
847eb63ffffffff,2,0
840728dffffffff,1,0
84bb539ffffffff,15,0
848e411ffffffff,1,0
84464a1ffffffff,11,0
843a8d5ffffffff,1,0
84321c9ffffffff,2,0
842224dffffffff,1,0
84608d1ffffffff,13,0
84121bdffffffff,29,0
84540a7ffffffff,1,0
8410ee9ffffffff,18,0
8464801ffffffff,1,0
8412da7ffffffff,71,0
8466129ffffffff,20,0
8481429ffffffff,8,0
842804dffffffff,16,0
84af70dffffffff,2,0
8428085ffffffff,35,0
84811cdffffffff,17,0
84a9491ffffffff,1,0
8410e5dffffffff,30,0
842d263ffffffff,227,0
843f5a5ffffffff,34,0
8444a21ffffffff,180,0
8409a3dffffffff,25,0
843f069ffffffff,30,0
848cf2bffffffff,2,0
846d625ffffffff,17,0
84674b7ffffffff,2,0
8418e33ffffffff,1,0
842aa55ffffffff,298,0
844daabffffffff,2,0
844534dffffffff,13,0
84a96b1ffffffff,3,0
84872c5ffffffff,1,0
8428b0bffffffff,115,0
842698dffffffff,208,0
843cc15ffffffff,21,0
84be483ffffffff,26,0
84a8567ffffffff,2,0
842a837ffffffff,473,0
84a51d5ffffffff,1,0
841a4c9ffffffff,1,0
8426493ffffffff,348,1
848ac03ffffffff,3,0
8448e05ffffffff,8,0
846806bffffffff,1,0
8468a23ffffffff,1,0
841f0d7ffffffff,64,0
8408309ffffffff,3,0
8435aa5ffffffff,5,0
84164bbffffffff,1,0
841a50bffffffff,2,0
840b93bffffffff,2,0
842b831ffffffff,153,0
847a133ffffffff,1,0
8418505ffffffff,2,0
84298a7ffffffff,33,0
8469931ffffffff,9,0
84390b9ffffffff,25,0
8480d65ffffffff,1,0
842191dffffffff,1,0
8468755ffffffff,6,0
8439051ffffffff,280,0
8439a33ffffffff,81,0
843481bffffffff,1,0
8436dc9ffffffff,1,0
842b0bbffffffff,14,0
8418063ffffffff,102,0
8443a05ffffffff,3,0
84191c9ffffffff,7,0
8435353ffffffff,1,0
840e967ffffffff,1,0
8460d6dffffffff,9,0
84a8a91ffffffff,57,0
842c0abffffffff,16,0
843430bffffffff,2,0
8410ce1ffffffff,4,0
845d117ffffffff,1,0
8445365ffffffff,7,0
843aac5ffffffff,1,0
8426eb9ffffffff,179,0
84384d3ffffffff,5,0
84bc925ffffffff,2,0
8402195ffffffff,1,0
84392e5ffffffff,229,0
843f691ffffffff,19,14
