hex,count_good_aircraft,count_bad_aircraft
84485cdffffffff,47,0
848e6bbffffffff,6,0
84358cdffffffff,6,0
84a8d29ffffffff,10,0
842e6c1ffffffff,202,0
84348c3ffffffff,1,0
844d595ffffffff,6,0
840fabdffffffff,1,0
84bb089ffffffff,56,0
84101e1ffffffff,38,0
840f5c7ffffffff,5,0
84588cdffffffff,1,0
8460d89ffffffff,1,0
84b3587ffffffff,7,0
842755dffffffff,41,0
84bced9ffffffff,3,0
8421541ffffffff,1,0
8465203ffffffff,36,0
8464ab7ffffffff,15,0
841a241ffffffff,2,0
84b9a65ffffffff,10,0
849d551ffffffff,3,0
8414307ffffffff,5,0
843adedffffffff,1,0
848303bffffffff,1,0
84186dbffffffff,104,0
844cab9ffffffff,63,0
84be5d7ffffffff,26,0
848cb51ffffffff,2,0
84191e9ffffffff,6,0
849d0b5ffffffff,62,0
84b8ca1ffffffff,1,0
8420a15ffffffff,3,0
842b1c9ffffffff,42,0
84c2cc3ffffffff,4,0
841211bffffffff,9,0
8441169ffffffff,8,0
8412739ffffffff,50,0
840988bffffffff,12,0
840f32bffffffff,1,0
84480d3ffffffff,19,0
842c467ffffffff,63,1
840f5adffffffff,1,0
84a4167ffffffff,1,0
8432841ffffffff,2,0
84651c9ffffffff,14,0
845e9edffffffff,1,0
84309abffffffff,13,0
8410dabffffffff,8,0
84a76abffffffff,1,0
84a7305ffffffff,10,0
84ad965ffffffff,2,0
84359a7ffffffff,1,0
8439319ffffffff,99,0
8465213ffffffff,30,0
8429889ffffffff,344,0
8439537ffffffff,2,0
84870d7ffffffff,1,0
84b366bffffffff,1,0
8427409ffffffff,45,0
8426cebffffffff,239,1
843f489ffffffff,54,5
84d5913ffffffff,1,0
841a301ffffffff,1,0
8444cd9ffffffff,313,0
84430a1ffffffff,2,0
84c3667ffffffff,7,0
8428c07ffffffff,4,0
841a2abffffffff,1,0
8426d03ffffffff,316,0
84be737ffffffff,80,0
84a8855ffffffff,4,0
8467543ffffffff,3,0
84beaa1ffffffff,4,0
842acd3ffffffff,5,0
842d249ffffffff,273,0
84bed35ffffffff,17,0
845ec63ffffffff,1,0
84991d5ffffffff,1,0
84095b7ffffffff,11,0
84660e5ffffffff,18,0
84d8903ffffffff,2,0
8444d23ffffffff,71,0
84a8ac9ffffffff,165,1
840c46bffffffff,105,0
84374edffffffff,2,0
843a2c1ffffffff,1,0
841e9b9ffffffff,71,0
8418615ffffffff,100,0
84108abffffffff,4,0
846841bffffffff,3,0
848b8c1ffffffff,6,0
843ee93ffffffff,10,0
842a2c5ffffffff,1,0
84124a9ffffffff,3,0
8454739ffffffff,1,0
8445527ffffffff,9,0
8428ebbffffffff,5,0
8464f03ffffffff,19,0
840c5d1ffffffff,2,0
8494a5dffffffff,2,0
848e755ffffffff,18,0
84b840dffffffff,7,0
8419b17ffffffff,1,0
84110bdffffffff,2,0
846b5a7ffffffff,6,0
846a72bffffffff,1,0
845e123ffffffff,1,0
8497a99ffffffff,1,0
841d557ffffffff,1,0
8418f35ffffffff,1,0
842a9e5ffffffff,402,0
844449bffffffff,270,0
8481555ffffffff,2,0
840f06dffffffff,3,0
8466ac7ffffffff,12,0
8446485ffffffff,27,0
84356b3ffffffff,8,0
8406719ffffffff,1,0
8426f07ffffffff,287,0
8444f0bffffffff,773,1
8428de3ffffffff,56,0
8413583ffffffff,1,0
8430145ffffffff,50,0
8465239ffffffff,80,0
84814c5ffffffff,2,0
8426467ffffffff,446,0
8499699ffffffff,1,0
841e043ffffffff,103,0
8426dcdffffffff,200,0
8434b07ffffffff,1,0
847a635ffffffff,8,0
842b6e7ffffffff,2,0
843255bffffffff,1,0
84a8451ffffffff,4,0
843b61bffffffff,3,0
8416aadffffffff,10,0
8412f25ffffffff,6,0
841ad23ffffffff,4,0
8439667ffffffff,366,0
840e1dbffffffff,1,0
842d50dffffffff,61,0
8464b69ffffffff,23,0
8419957ffffffff,4,0
848a259ffffffff,1,0
84b24e5ffffffff,11,0
84752e5ffffffff,6,0
8468337ffffffff,2,0
84a6d09ffffffff,1,0
8429a39ffffffff,568,3
842ad1bffffffff,38,0
84416cdffffffff,17,0
84186a5ffffffff,157,0
843e68bffffffff,87,0
8426dc9ffffffff,201,0
843c065ffffffff,13,0
84be485ffffffff,33,0
8428353ffffffff,25,0
843f201ffffffff,18,0
845291dffffffff,1,0
845f0ddffffffff,4,0
84a84b1ffffffff,2,0
849542dffffffff,2,0
8412417ffffffff,9,0
8443231ffffffff,8,0
8480039ffffffff,3,0
8458a9bffffffff,1,0
840fae5ffffffff,2,0
8444cc7ffffffff,580,1
8444607ffffffff,40,0
84380c7ffffffff,1,0
8434051ffffffff,4,0
84081a1ffffffff,5,0
8404b61ffffffff,1,0
84675b9ffffffff,1,0
841b957ffffffff,9,0
8461407ffffffff,20,0
8437441ffffffff,2,0
840f297ffffffff,3,0
8467717ffffffff,7,0
8443169ffffffff,31,0
84438e1ffffffff,82,0
846d70dffffffff,6,0
84b8a19ffffffff,6,0
8441435ffffffff,94,0
8428da9ffffffff,43,0
8443313ffffffff,1,0
849d645ffffffff,14,0
848d843ffffffff,41,0
849e283ffffffff,3,0
8480943ffffffff,3,0
845c437ffffffff,1,0
843f195ffffffff,4,0
84be4abffffffff,48,0
846c68bffffffff,1,0
84a801dffffffff,16,0
8432513ffffffff,13,0
84b3605ffffffff,1,0
8408d1bffffffff,7,0
8440563ffffffff,26,0
843821dffffffff,1,0
8443131ffffffff,133,0
846d489ffffffff,2,0
8422359ffffffff,2,0
842716bffffffff,17,0
84b911bffffffff,22,0
8426d11ffffffff,372,0
8442ce7ffffffff,12,0
8428e45ffffffff,18,0
8439597ffffffff,3,0
848f08bffffffff,2,0
8402441ffffffff,1,0
843f265ffffffff,30,0
842a569ffffffff,3,0
84be837ffffffff,1,0
840e59dffffffff,3,0
8406c05ffffffff,3,0
84299e9ffffffff,134,0
8439427ffffffff,404,0
8410081ffffffff,6,0
845ab65ffffffff,1,0
845adbdffffffff,3,0
849d65bffffffff,2,0
844f219ffffffff,1,0
8438c21ffffffff,1,0
841f565ffffffff,59,0
84191b3ffffffff,30,0
845d157ffffffff,11,0
842f5b5ffffffff,128,0
841fb4bffffffff,531,0
8438f35ffffffff,1,0
840ef31ffffffff,1,0
84266ddffffffff,429,0
84bed5dffffffff,13,0
840b34bffffffff,3,0
84195e1ffffffff,40,0
8435713ffffffff,1,0
8426ed9ffffffff,231,0
8416cdbffffffff,1,0
848d61dffffffff,1,0
842a14dffffffff,313,0
84958dbffffffff,2,0
846931bffffffff,21,0
84471a5ffffffff,1,0
8469439ffffffff,36,0
84951cbffffffff,1,0
845d04dffffffff,126,0
84615bdffffffff,14,0
84346ebffffffff,28,0
8460107ffffffff,33,0
8486931ffffffff,1,0
8429a9dffffffff,437,0
842cd05ffffffff,11,0
84485a7ffffffff,206,0
84680bbffffffff,1,0
8482cd5ffffffff,1,0
8464ca1ffffffff,6,0
8438ecbffffffff,3,0
84b84a3ffffffff,7,0
843c899ffffffff,27,0
843d9b7ffffffff,1,0
