hex,count_good_aircraft,count_bad_aircraft
84180b9ffffffff,29,0
8429a83ffffffff,130,0
842b1abffffffff,42,0
841ee2bffffffff,63,0
84541adffffffff,11,0
842e2a7ffffffff,8,0
843826dffffffff,19,0
8480f31ffffffff,1,0
841aee5ffffffff,2,0
84be6c1ffffffff,3,0
84b9a41ffffffff,9,0
842e2b9ffffffff,53,0
8418d83ffffffff,1,0
840ede9ffffffff,1,0
8460159ffffffff,14,0
8426a69ffffffff,51,0
84382ddffffffff,1,0
8426d0dffffffff,200,0
8427951ffffffff,17,0
84a91dbffffffff,24,0
8445255ffffffff,14,0
8408dc9ffffffff,4,0
8414f5bffffffff,5,0
84476d7ffffffff,1,0
84642a1ffffffff,7,0
8427aabffffffff,16,0
842f339ffffffff,1,0
843b5c3ffffffff,1,0
84282b5ffffffff,17,0
8428e17ffffffff,1,0
8444e39ffffffff,283,0
841192bffffffff,1,0
8412863ffffffff,9,0
84b840dffffffff,4,0
841ef5bffffffff,245,0
8440d19ffffffff,3,0
84601e1ffffffff,29,0
841a091ffffffff,8,0
8411a4dffffffff,81,0
8432ed7ffffffff,9,0
84a8161ffffffff,10,0
841cc37ffffffff,5,0
841fa69ffffffff,413,1
8436483ffffffff,3,0
8496965ffffffff,3,0
841a12dffffffff,3,0
842c33dffffffff,33,0
8406d13ffffffff,1,0
84122a9ffffffff,1,0
843f359ffffffff,60,0
843b4c3ffffffff,11,0
841acc5ffffffff,2,0
846941dffffffff,33,0
842bae9ffffffff,60,0
843825dffffffff,48,0
843b225ffffffff,6,0
844d419ffffffff,5,0
842d009ffffffff,223,0
8406627ffffffff,2,0
843874dffffffff,34,0
8418e9bffffffff,19,0
8414aa7ffffffff,2,0
842769bffffffff,64,0
847508dffffffff,13,0
841ada9ffffffff,1,0
841411dffffffff,29,0
843f245ffffffff,37,0
848f43bffffffff,8,0
8468319ffffffff,20,0
8444d63ffffffff,7,0
841f869ffffffff,210,0
846d6edffffffff,32,0
843f6abffffffff,247,22
8429929ffffffff,206,0
845d155ffffffff,27,0
8444485ffffffff,192,0
84200bdffffffff,5,0
8466b05ffffffff,2,0
84184e1ffffffff,161,0
8408363ffffffff,6,0
8426ce7ffffffff,376,0
841f527ffffffff,98,0
84a90a1ffffffff,28,0
842e1cbffffffff,14,0
849e163ffffffff,1,0
843d8c9ffffffff,69,0
8454ac1ffffffff,10,0
8436683ffffffff,1,0
846013bffffffff,19,0
841f157ffffffff,127,0
84395a9ffffffff,42,0
8417013ffffffff,4,0
8439769ffffffff,155,0
8426225ffffffff,43,0
846a4b3ffffffff,1,0
8417139ffffffff,3,0
8402d99ffffffff,1,0
841a14bffffffff,2,0
840d8adffffffff,2,0
849573dffffffff,1,0
841a24dffffffff,2,0
843f201ffffffff,16,0
849f685ffffffff,1,0
8427223ffffffff,3,0
84126a7ffffffff,13,0
842c9edffffffff,287,0
841e16bffffffff,246,0
842da1bffffffff,14,7
8422cebffffffff,3,0
8454109ffffffff,4,0
844ce4dffffffff,10,0
84169e5ffffffff,3,0
844a369ffffffff,14,0
841cc95ffffffff,2,0
8475a81ffffffff,2,0
84da94bffffffff,127,0
843d959ffffffff,1,0
84455abffffffff,1,0
844651bffffffff,1,0
841108bffffffff,14,0
841a0c7ffffffff,1,0
8427967ffffffff,41,0
