hex,count_good_aircraft,count_bad_aircraft
843869dffffffff,21,0
842d083ffffffff,18,0
8419551ffffffff,172,0
841a199ffffffff,2,0
840885bffffffff,7,0
8406993ffffffff,1,0
846694dffffffff,2,0
8426251ffffffff,88,0
842a811ffffffff,320,0
8443a35ffffffff,12,0
8408ae9ffffffff,5,0
842cdc7ffffffff,8,0
84186b5ffffffff,307,0
84678bbffffffff,6,0
843d851ffffffff,31,0
8440f49ffffffff,14,0
8439a35ffffffff,5,0
8432e19ffffffff,8,0
845e29dffffffff,3,0
84adad5ffffffff,4,0
846d06dffffffff,2,0
8441647ffffffff,79,0
843f59dffffffff,61,0
840eaa5ffffffff,4,0
84660d7ffffffff,2,0
844a059ffffffff,1,0
841a121ffffffff,2,0
840e4a5ffffffff,7,0
843f26dffffffff,33,0
8461881ffffffff,60,0
8426dcbffffffff,200,0
8482c49ffffffff,1,0
842b247ffffffff,60,0
848b881ffffffff,2,0
849774dffffffff,1,0
845792dffffffff,1,0
840c501ffffffff,42,0
8426769ffffffff,249,0
849c645ffffffff,4,0
845d321ffffffff,56,0
84d329bffffffff,1,0
8448897ffffffff,193,0
846a4d3ffffffff,1,0
8419935ffffffff,3,0
84bec67ffffffff,4,0
8410401ffffffff,1,0
8408949ffffffff,117,0
84100ddffffffff,2,0
841ccb5ffffffff,2,0
8441b2dffffffff,53,0
8468a2dffffffff,8,0
8468515ffffffff,1,0
84bee23ffffffff,9,0
844b243ffffffff,7,0
84396e3ffffffff,329,0
84c2ccbffffffff,4,0
841eeb1ffffffff,155,73
8465a69ffffffff,53,0
84be681ffffffff,10,0
843d915ffffffff,218,0
841ae05ffffffff,1,0
84109edffffffff,95,0
84a7ab1ffffffff,12,0
841a213ffffffff,1,0
842b167ffffffff,58,0
842aebbffffffff,1,0
8426f23ffffffff,245,1
8444b43ffffffff,60,0
84da841ffffffff,1,0
8418725ffffffff,62,0
8440e31ffffffff,230,2
842a825ffffffff,355,0
842c253ffffffff,4,0
84a9891ffffffff,24,0
841aca1ffffffff,5,0
8489323ffffffff,1,0
845524bffffffff,12,0
840b72dffffffff,4,0
8442a41ffffffff,11,0
8418951ffffffff,11,0
8445151ffffffff,7,0
84652b1ffffffff,14,0
842c4e7ffffffff,33,0
8430e3bffffffff,183,0
845591dffffffff,2,0
8439b33ffffffff,9,0
8419513ffffffff,456,4
841f2e3ffffffff,96,0
8426667ffffffff,447,0
84602e9ffffffff,2,0
846776bffffffff,13,0
84189e7ffffffff,3,0
8458ccbffffffff,3,0
84a92d9ffffffff,1,0
8444c89ffffffff,471,1
847373bffffffff,1,0
8448e2dffffffff,1,0
842cf13ffffffff,10,0
845f299ffffffff,1,0
841871dffffffff,81,0
84615c9ffffffff,38,0
8419269ffffffff,28,0
844cf19ffffffff,60,0
842b241ffffffff,59,0
84be35dffffffff,5,0
848c181ffffffff,2,0
840c0b7ffffffff,22,0
8422f69ffffffff,1,0
846d239ffffffff,16,0
8406521ffffffff,2,0
84225a1ffffffff,1,0
842a123ffffffff,790,1
84e2ce9ffffffff,1,0
844bb59ffffffff,102,0
842ada9ffffffff,333,0
8480acdffffffff,10,0
846594bffffffff,8,0
8418ca3ffffffff,21,0
84be855ffffffff,1,0
8414197ffffffff,1,0
840ee43ffffffff,1,0
8463939ffffffff,4,0
849d047ffffffff,1,0
84198cdffffffff,9,0
8481187ffffffff,15,0
84b2463ffffffff,1,0
845325dffffffff,3,0
8444203ffffffff,6,0
8453623ffffffff,126,0
8435601ffffffff,15,0
847bb41ffffffff,1,0
8489363ffffffff,3,0
84506ebffffffff,2,0
8448e39ffffffff,1,0
841ef57ffffffff,212,0
845e5b9ffffffff,1,0
841a529ffffffff,22,0
845c9c7ffffffff,1,0
845f047ffffffff,2,0
841f237ffffffff,232,0
842b547ffffffff,11,0
8410e65ffffffff,20,0
8422ab5ffffffff,1,0
8461029ffffffff,4,0
8415a47ffffffff,5,0
841f0adffffffff,77,0
841e989ffffffff,131,0
843b40bffffffff,2,0
842f497ffffffff,49,0
8411469ffffffff,3,0
843a221ffffffff,1,0
844ba31ffffffff,67,0
842ae95ffffffff,2,0
8448b37ffffffff,121,1
8461837ffffffff,30,0
8429105ffffffff,19,0
8429707ffffffff,4,0
841e8abffffffff,95,0
843cae5ffffffff,42,0
8453697ffffffff,113,0
84c3b39ffffffff,1,0
8408169ffffffff,32,0
84454b5ffffffff,53,0
8407aedffffffff,1,0
842b28bffffffff,33,0
84c2ea9ffffffff,16,0
841822dffffffff,69,0
84a8e19ffffffff,8,0
8419663ffffffff,31,0
8428e65ffffffff,7,0
8410b31ffffffff,1,0
841ee37ffffffff,167,1
844d5d9ffffffff,1,0
8480a51ffffffff,4,0
8408d19ffffffff,21,0
844d52dffffffff,1,0
841f039ffffffff,95,0
8435ab5ffffffff,4,0
84124e5ffffffff,21,0
849d519ffffffff,2,0
84a7217ffffffff,1,0
848b5c9ffffffff,1,0
84102d5ffffffff,5,0
842b1c7ffffffff,76,0
846ae89ffffffff,3,0
8444895ffffffff,9,0
841f06bffffffff,50,0
84216a7ffffffff,16,0
8426133ffffffff,152,0
842750dffffffff,75,0
84be055ffffffff,10,0
84290a9ffffffff,5,0
8438a39ffffffff,3,0
8432895ffffffff,1,0
842a407ffffffff,11,0
847b0a1ffffffff,3,0
84ba227ffffffff,1,0
841932bffffffff,18,0
8483ad9ffffffff,1,0
84275c7ffffffff,232,0
846380bffffffff,1,0
842e0a3ffffffff,47,0
842f567ffffffff,19,0
84074ebffffffff,21,0
84105d9ffffffff,8,0
849d059ffffffff,2,0
8445495ffffffff,28,0
842d053ffffffff,22,0
844990bffffffff,136,0
84b2e11ffffffff,2,0
846a1cdffffffff,1,0
