hex,count_good_aircraft,count_bad_aircraft
8460257ffffffff,2,0
8438589ffffffff,3,0
8410d6dffffffff,20,0
84972edffffffff,3,0
8432e39ffffffff,1,0
845220bffffffff,2,0
8418845ffffffff,2,0
8455a6dffffffff,3,0
8466185ffffffff,6,0
8449b33ffffffff,95,0
845a943ffffffff,4,0
84a6349ffffffff,2,0
8445815ffffffff,4,0
8458945ffffffff,2,0
8444519ffffffff,212,0
8448595ffffffff,94,0
84102e7ffffffff,1,0
842a1e5ffffffff,293,0
84618cbffffffff,23,0
8430cb7ffffffff,46,0
847a081ffffffff,3,0
84bb095ffffffff,27,0
8435447ffffffff,2,0
842d16bffffffff,5,1
8427713ffffffff,23,0
84362e7ffffffff,1,0
84654a1ffffffff,1,0
843772dffffffff,4,0
84508c9ffffffff,1,0
8427139ffffffff,52,0
8442c97ffffffff,86,0
8453533ffffffff,1,0
844514bffffffff,10,0
844f9a5ffffffff,3,0
844b107ffffffff,60,0
840e933ffffffff,2,0
847b05dffffffff,2,0
845e56dffffffff,1,0
8422411ffffffff,3,0
848103bffffffff,9,0
843d825ffffffff,48,0
8478b67ffffffff,1,0
8457245ffffffff,1,0
84999edffffffff,1,0
8460349ffffffff,4,0
842643bffffffff,241,0
84a8217ffffffff,11,0
84224d3ffffffff,1,0
8448555ffffffff,38,0
8468807ffffffff,2,0
843f49bffffffff,20,10
8408d49ffffffff,2,0
8439535ffffffff,14,0
840db15ffffffff,3,0
84b78c7ffffffff,1,0
84258ebffffffff,1,0
84489bdffffffff,235,0
842a13bffffffff,481,0
842b56bffffffff,28,0
8423047ffffffff,2,0
8418495ffffffff,188,0
8448b25ffffffff,5,0
8426b09ffffffff,98,0
8460889ffffffff,49,0
8408a15ffffffff,5,0
848135dffffffff,41,0
843b4ddffffffff,3,0
8409a25ffffffff,3,0
842c349ffffffff,15,0
840eb11ffffffff,1,0
843f2c1ffffffff,40,0
84b904bffffffff,1,0
84811e3ffffffff,21,0
848136dffffffff,12,0
841aa35ffffffff,17,0
845353dffffffff,23,0
840c9ddffffffff,1,0
844a961ffffffff,1,0
8416893ffffffff,4,0
8409507ffffffff,1,0
8428cdbffffffff,11,0
841a269ffffffff,2,0
8427055ffffffff,16,0
8468105ffffffff,34,0
848f539ffffffff,2,0
8468545ffffffff,3,0
8424e37ffffffff,2,0
841822dffffffff,68,0
8472541ffffffff,1,0
84099b5ffffffff,45,0
8442365ffffffff,70,0
84b3327ffffffff,2,0
844d051ffffffff,2,0
8420991ffffffff,1,0
8439b5dffffffff,44,0
841f94bffffffff,154,0
8439a27ffffffff,29,0
84952d9ffffffff,1,0
8411767ffffffff,5,0
849a75bffffffff,3,0
8421247ffffffff,5,0
849e0bdffffffff,1,0
84099ddffffffff,29,0
8466a63ffffffff,16,0
84465d5ffffffff,8,0
844805bffffffff,6,0
8439143ffffffff,58,0
8418c4bffffffff,2,0
843cf3bffffffff,15,0
84a8c55ffffffff,2,0
84508e3ffffffff,1,0
84646c5ffffffff,1,0
843f72dffffffff,47,0
84751d7ffffffff,6,0
8443b13ffffffff,28,0
84b2629ffffffff,5,0
8412cb5ffffffff,29,0
8411447ffffffff,7,0
843c909ffffffff,4,0
84bce95ffffffff,6,0
84b275dffffffff,4,0
841d691ffffffff,4,0
84a78c1ffffffff,1,0
8410859ffffffff,37,0
84801e5ffffffff,2,0
841ec8bffffffff,224,0
8426b49ffffffff,76,0
8418759ffffffff,120,0
8411259ffffffff,13,0
8401a17ffffffff,2,0
845966dffffffff,8,0
84181e7ffffffff,18,0
84b869dffffffff,3,0
841e135ffffffff,205,0
843e691ffffffff,11,0
840ea51ffffffff,3,0
844cd47ffffffff,17,1
845d021ffffffff,5,0
841636dffffffff,1,0
842cb49ffffffff,17,0
84308bbffffffff,4,0
843daa3ffffffff,133,0
841ec65ffffffff,126,0
84b8817ffffffff,10,0
84089bdffffffff,69,0
846aee1ffffffff,5,0
8409959ffffffff,22,0
844d811ffffffff,3,0
843b183ffffffff,3,0
8461a93ffffffff,1,0
8435451ffffffff,3,0
84b3035ffffffff,11,0
841cf29ffffffff,4,0
845d069ffffffff,41,0
84358b1ffffffff,1,0
842a88dffffffff,306,0
8444a1bffffffff,1288,0
845e60dffffffff,8,0
8439ac1ffffffff,22,0
84659c1ffffffff,3,0
8434ec1ffffffff,1,0
8420ae9ffffffff,7,0
8472429ffffffff,1,0
8469941ffffffff,7,0
845f41bffffffff,1,0
84445bdffffffff,184,0
843b523ffffffff,3,0
840e355ffffffff,1,0
840cf2dffffffff,64,0
848d1d7ffffffff,1,0
841d5d7ffffffff,2,0
8481989ffffffff,4,0
841ea6dffffffff,244,0
8412d85ffffffff,23,0
8445169ffffffff,2,0
843948bffffffff,88,0
8414aebffffffff,4,0
84a90a7ffffffff,28,0
8464215ffffffff,3,0
847e1abffffffff,1,0
84459cbffffffff,27,0
84b936dffffffff,5,0
8444933ffffffff,1,0
8434b69ffffffff,2,0
84c995dffffffff,2,0
8426087ffffffff,158,0
8427a63ffffffff,69,0
840c993ffffffff,4,0
848b805ffffffff,8,0
84166b3ffffffff,1,0
846086dffffffff,34,0
84b31d3ffffffff,5,0
