hex,count_good_aircraft,count_bad_aircraft
8468eb5ffffffff,3,0
844a0bdffffffff,1,0
841e927ffffffff,27,0
842aca7ffffffff,1,0
841f83dffffffff,387,0
8438749ffffffff,28,0
84192e9ffffffff,2,0
84bb5d5ffffffff,4,0
8450069ffffffff,1,0
8431a89ffffffff,6,0
84be755ffffffff,3,0
840ea9dffffffff,1,0
84a5459ffffffff,1,0
841b2a3ffffffff,1,0
84a91b1ffffffff,26,0
84b8449ffffffff,2,0
841e193ffffffff,208,0
842c045ffffffff,21,6
8408f51ffffffff,9,0
840805bffffffff,1,0
84391b9ffffffff,190,0
84a5ae9ffffffff,1,0
8421249ffffffff,2,0
841c1e7ffffffff,2,0
84bf957ffffffff,1,0
848c84dffffffff,23,0
848d30bffffffff,1,0
84144a5ffffffff,6,0
843b85dffffffff,1,0
842b1e7ffffffff,74,0
8418609ffffffff,58,0
8426d5bffffffff,119,1
841a55bffffffff,1,0
841f841ffffffff,111,0
84a7119ffffffff,37,0
843d913ffffffff,22,0
841713bffffffff,2,0
848034dffffffff,13,0
8439b2bffffffff,96,0
841ea19ffffffff,117,0
843b1ddffffffff,3,0
8427189ffffffff,12,0
844cf19ffffffff,80,0
84489b5ffffffff,255,0
8439b43ffffffff,11,0
8494145ffffffff,2,0
841d691ffffffff,2,0
84b25d3ffffffff,6,0
8476151ffffffff,1,0
844c295ffffffff,18,0
8444a05ffffffff,182,0
848b129ffffffff,2,0
845e8ddffffffff,1,0
841271dffffffff,1,0
8468063ffffffff,4,0
841af19ffffffff,5,0
84615c5ffffffff,26,0
8480a31ffffffff,7,0
84384d1ffffffff,19,0
842986bffffffff,2162,1
8441015ffffffff,79,0
8444f6dffffffff,694,2
842c98dffffffff,8,0
84beac9ffffffff,2,0
845f503ffffffff,7,0
8408347ffffffff,1,0
842f819ffffffff,1,0
8447331ffffffff,3,0
84070e1ffffffff,1,0
8427469ffffffff,13,0
84bee4bffffffff,76,0
8443a87ffffffff,230,0
8466f39ffffffff,1,0
8450a81ffffffff,1,0
8475661ffffffff,2,0
84451adffffffff,16,0
847a017ffffffff,11,0
844565bffffffff,26,0
8445659ffffffff,16,0
840cd63ffffffff,3,0
8406dd1ffffffff,3,0
844312dffffffff,310,0
844213dffffffff,180,0
84359d3ffffffff,1,0
8442c59ffffffff,23,0
844b857ffffffff,9,0
84675e9ffffffff,5,0
8412c13ffffffff,78,0
846430bffffffff,2,0
843aad5ffffffff,2,0
84c986dffffffff,1,0
8415a57ffffffff,1,0
84690d5ffffffff,1,0
8432ea1ffffffff,2,0
846a439ffffffff,2,0
844106dffffffff,11,0
84818b3ffffffff,5,0
8464e09ffffffff,1,0
841f095ffffffff,35,0
84a8141ffffffff,35,0
8408dc1ffffffff,2,0
848104dffffffff,31,0
8410d01ffffffff,20,0
8453aabffffffff,7,0
8466145ffffffff,6,0
840eb23ffffffff,1,0
845ceb7ffffffff,2,0
8426407ffffffff,272,0
842970dffffffff,1,0
849d415ffffffff,2,0
847b01dffffffff,1,0
8428293ffffffff,5,0
844db25ffffffff,1,0
84bfa49ffffffff,1,0
84c2d11ffffffff,3,0
848b437ffffffff,5,0
843b447ffffffff,1,0
843ac17ffffffff,1,0
84291bdffffffff,11,0
84a713bffffffff,19,0
8408ac1ffffffff,3,0
84bc6bdffffffff,9,0
8442103ffffffff,4,0
840b923ffffffff,2,0
8422a61ffffffff,1,0
8405955ffffffff,1,0
84488e3ffffffff,34,0
8466623ffffffff,1,0
841f821ffffffff,208,0
8426d35ffffffff,245,0
841e82bffffffff,122,0
846a1adffffffff,1,0
84120b3ffffffff,8,0
844580bffffffff,1,0
8480745ffffffff,3,0
84c3b45ffffffff,1,0
84bb735ffffffff,17,0
84269cbffffffff,304,0
8412ee5ffffffff,40,0
8464129ffffffff,17,0
842e023ffffffff,16,0
845e731ffffffff,13,0
84679e1ffffffff,2,0
841992dffffffff,1,0
84689d9ffffffff,3,0
844421dffffffff,32,0
84650d9ffffffff,3,0
8419847ffffffff,4,0
841e8b9ffffffff,81,0
84649e9ffffffff,1,0
840c743ffffffff,2,0
8467705ffffffff,17,0
8421699ffffffff,4,0
842072bffffffff,3,0
848f011ffffffff,8,0
84b3261ffffffff,2,0
842061bffffffff,5,0
8438483ffffffff,1,0
8426de3ffffffff,174,0
8465a0bffffffff,7,0
8444435ffffffff,203,0
8480283ffffffff,2,0
8427207ffffffff,1,0
842e48dffffffff,2,0
847c411ffffffff,1,0
8443aebffffffff,307,0
845e88dffffffff,2,0
842772bffffffff,17,0
848e4bdffffffff,3,0
84131abffffffff,1,0
841eb3dffffffff,8,0
8434411ffffffff,65,0
849d0a3ffffffff,17,0
8401557ffffffff,1,0
843f117ffffffff,3,3
844b009ffffffff,8,0
84c2d51ffffffff,5,0
848d41bffffffff,1,0
84a04d3ffffffff,1,0
845e4a9ffffffff,14,0
8428a51ffffffff,33,0
84a8323ffffffff,23,0
84a70abffffffff,4,0
845d245ffffffff,5,0
8432769ffffffff,1,0
8440f5bffffffff,15,0
84481a7ffffffff,32,0
8466167ffffffff,34,0
841486dffffffff,17,0
84bf8d3ffffffff,2,0
84268cbffffffff,442,2
847b0e5ffffffff,1,0
840a927ffffffff,6,0
84089a5ffffffff,58,0
840471dffffffff,3,0
847f847ffffffff,1,0
84318e3ffffffff,101,0
84da8e9ffffffff,3,0
848a995ffffffff,4,0
8459897ffffffff,1,0
843a1ddffffffff,3,0
8430c15ffffffff,63,0
8410365ffffffff,65,0
8419041ffffffff,2,0
8468ab1ffffffff,4,0
8406c59ffffffff,1,0
843f2e1ffffffff,1,0
8446e31ffffffff,1,0
8494f05ffffffff,1,0
8499749ffffffff,1,0
842aabdffffffff,768,1
843b63dffffffff,1,0
8402c13ffffffff,1,0
842c301ffffffff,22,0
848a015ffffffff,3,0
8464aedffffffff,9,0
84185c7ffffffff,9,0
8460f01ffffffff,2,0
8425461ffffffff,3,0
840e6dbffffffff,4,0
841a5d7ffffffff,1,0
840ea2bffffffff,1,0
848c8c3ffffffff,27,0
84b86b9ffffffff,12,0
8468107ffffffff,9,0
8429067ffffffff,43,0
8419965ffffffff,4,0
849d529ffffffff,1,0
8428529ffffffff,6,0
844b0b9ffffffff,22,0
8475437ffffffff,2,0
848db3dffffffff,10,0
8495a09ffffffff,4,0
84752cbffffffff,2,0
8461455ffffffff,4,0
84beab9ffffffff,2,0
84108bbffffffff,6,0
842819dffffffff,1,0
84272edffffffff,3,0
844a6bbffffffff,1,0
8427411ffffffff,82,0
840f609ffffffff,1,0
8430c49ffffffff,150,0
8445711ffffffff,36,0
845ea9bffffffff,1,0
84390c5ffffffff,212,0
8464cd1ffffffff,1,0
8442239ffffffff,21,0
842ca8bffffffff,17,0
843d857ffffffff,23,0
84ce93dffffffff,2,0
84261bdffffffff,222,0
8412cc1ffffffff,65,1
842a007ffffffff,6,0
8408a97ffffffff,4,0
8465947ffffffff,11,0
844b007ffffffff,1,0
8480907ffffffff,1,0
843f5c7ffffffff,41,0
8420139ffffffff,12,0
8480e0dffffffff,1,0
8444dd5ffffffff,664,0
842a987ffffffff,355,0
84449adffffffff,3,0
84440bdffffffff,44,0
8411143ffffffff,2,0
842accdffffffff,1,0
8435065ffffffff,6,0
843a2e9ffffffff,1,0
84acb19ffffffff,1,0
843d6c1ffffffff,1,0
8422db3ffffffff,17,0
8436f39ffffffff,3,0
84a7135ffffffff,13,0
8444d57ffffffff,484,0
841a84dffffffff,64,0
84184a3ffffffff,36,0
842b11dffffffff,88,0
8465599ffffffff,4,0
8486865ffffffff,5,0
8428999ffffffff,61,0
84122c3ffffffff,1,0
8428213ffffffff,11,0
848690dffffffff,1,0
8454a25ffffffff,1,0
8432dadffffffff,4,0
842944dffffffff,3,0
8416a9bffffffff,7,0
8427657ffffffff,14,0
847a667ffffffff,1,0
841f95bffffffff,186,0
84be821ffffffff,1,0
843b759ffffffff,3,0
849a555ffffffff,1,0
842a825ffffffff,385,0
84be631ffffffff,171,0
846b169ffffffff,1,0
8465b63ffffffff,91,0
8488d1bffffffff,1,0
8408941ffffffff,55,0
841864dffffffff,62,0
84101dbffffffff,8,0
84384b1ffffffff,6,0
848914dffffffff,1,0
845d5c3ffffffff,1,0
84b3005ffffffff,5,0
8458d8dffffffff,1,0
8444893ffffffff,7,0
840eb15ffffffff,1,0
8440e33ffffffff,54,0
8495911ffffffff,1,0
842e217ffffffff,23,0
84111bdffffffff,32,0
84370b9ffffffff,1,0
84678c7ffffffff,4,0
843d353ffffffff,3,0
8419931ffffffff,3,0
844c187ffffffff,9,0
8487951ffffffff,4,0
8443351ffffffff,62,0
840f307ffffffff,2,0
8426685ffffffff,377,0
8469595ffffffff,8,0
846523bffffffff,20,0
8445351ffffffff,14,0
848c94bffffffff,4,0
844c945ffffffff,42,0
84578e7ffffffff,2,0
848f401ffffffff,15,0
84112a7ffffffff,8,1
84552b1ffffffff,1,0
84195abffffffff,168,0
844b213ffffffff,9,0
84a8303ffffffff,58,0
8460017ffffffff,17,0
840eb13ffffffff,4,0
8448e09ffffffff,9,0
840e5dbffffffff,1,0
8410259ffffffff,3,0
845e567ffffffff,6,0
8408043ffffffff,2,0
841859dffffffff,33,0
848f433ffffffff,13,0
8435b53ffffffff,1,0
8496461ffffffff,5,0
841ad25ffffffff,1,0
8428325ffffffff,285,0
843b4b3ffffffff,3,0
84974abffffffff,1,0
84be567ffffffff,33,0
84358e3ffffffff,2,0
8458063ffffffff,2,0
8401697ffffffff,1,0
8452d41ffffffff,6,0
8419713ffffffff,6,0
848b441ffffffff,1,0
84349c3ffffffff,4,0
84b9aabffffffff,3,0
8449851ffffffff,7,0
840ba0dffffffff,8,0
844063bffffffff,1,0
8418c19ffffffff,5,0
8421097ffffffff,2,0
84270a3ffffffff,33,0
84c3593ffffffff,5,0
