hex,count_good_aircraft,count_bad_aircraft
84c9803ffffffff,1,0
843d06bffffffff,5,0
841b831ffffffff,1,0
8419303ffffffff,7,0
843d9d1ffffffff,10,0
84bef05ffffffff,12,0
8440e59ffffffff,99,0
8410ad9ffffffff,8,0
84a85e9ffffffff,4,0
8464d05ffffffff,3,0
84201d3ffffffff,1,0
8440e05ffffffff,299,0
8496839ffffffff,1,0
8459aebffffffff,1,0
847aee5ffffffff,2,0
845f5b9ffffffff,27,0
841d989ffffffff,4,0
84be463ffffffff,26,0
843a705ffffffff,1,0
84b9363ffffffff,4,0
84be0b5ffffffff,52,0
847360dffffffff,1,0
8453695ffffffff,136,0
8464069ffffffff,1,0
84535c3ffffffff,68,0
843d101ffffffff,17,0
8439565ffffffff,186,0
848aa37ffffffff,2,0
84264bbffffffff,382,0
84605a7ffffffff,1,0
840e307ffffffff,4,0
8454439ffffffff,1,0
84685cbffffffff,15,0
8439821ffffffff,4,0
8410951ffffffff,2,0
8429b43ffffffff,377,0
847b237ffffffff,2,0
843503dffffffff,24,0
8438657ffffffff,7,0
843a8cbffffffff,2,0
841acabffffffff,1,0
8488f67ffffffff,1,0
8423611ffffffff,1,0
848c827ffffffff,20,0
84082a5ffffffff,12,0
845e237ffffffff,2,0
843c141ffffffff,9,0
8463535ffffffff,1,0
84ce825ffffffff,9,0
8454f3bffffffff,3,0
846a425ffffffff,1,0
842ce2dffffffff,13,0
8422c2bffffffff,1,0
84285dbffffffff,3,0
8451647ffffffff,2,0
8426355ffffffff,60,0
8435039ffffffff,20,0
841856bffffffff,22,0
8466a91ffffffff,4,0
84071cbffffffff,1,0
84b9181ffffffff,6,0
8442aa9ffffffff,2,0
8419459ffffffff,92,0
84444d5ffffffff,248,0
8475041ffffffff,2,0
846ac19ffffffff,2,0
8407517ffffffff,3,0
84b3321ffffffff,9,0
84456a5ffffffff,1,0
843aa21ffffffff,1,0
841f9cdffffffff,725,0
849d29bffffffff,1,0
84818b7ffffffff,2,0
8426957ffffffff,142,0
8444f4dffffffff,559,1
843bad7ffffffff,3,0
8418db9ffffffff,2,0
84a946dffffffff,12,0
84166b5ffffffff,4,0
8426187ffffffff,245,0
846023dffffffff,14,0
84696ddffffffff,7,0
8428f43ffffffff,368,2
843cc49ffffffff,7,0
84026abffffffff,1,0
8467099ffffffff,12,0
842a945ffffffff,282,0
841862dffffffff,328,0
8464193ffffffff,1,0
841f281ffffffff,75,0
8411a8dffffffff,87,0
840bb25ffffffff,4,0
841d8e7ffffffff,9,0
844832dffffffff,43,0
84551d3ffffffff,2,0
8453705ffffffff,12,0
8496121ffffffff,2,0
84a7589ffffffff,1,0
84395d3ffffffff,8,0
842369bffffffff,1,0
848c999ffffffff,42,0
84be0b9ffffffff,76,0
848e645ffffffff,3,0
84af593ffffffff,1,0
8499623ffffffff,1,0
842b041ffffffff,73,0
84261a3ffffffff,186,0
8432ce9ffffffff,3,0
8418453ffffffff,255,0
84282c3ffffffff,35,0
841cd51ffffffff,1,0
84212cbffffffff,7,0
