hex,count_good_aircraft,count_bad_aircraft
84b2697ffffffff,4,0
8418a21ffffffff,2,0
8408cddffffffff,1,0
84bef29ffffffff,38,0
843988bffffffff,1,0
840f827ffffffff,1,0
840e48dffffffff,1,0
842673dffffffff,269,0
8410a87ffffffff,37,0
845e4adffffffff,14,0
8442ae1ffffffff,5,0
842c559ffffffff,100,0
845f819ffffffff,1,0
8442321ffffffff,27,0
842746dffffffff,44,0
848a201ffffffff,1,0
84088e9ffffffff,3,0
84a8aa5ffffffff,120,0
84c2eabffffffff,5,0
84704c1ffffffff,1,0
8467453ffffffff,9,0
8448923ffffffff,105,0
84366d3ffffffff,1,0
8466a6dffffffff,25,0
84994bbffffffff,1,0
84395c3ffffffff,1,0
840c1ddffffffff,1,0
8441a19ffffffff,89,0
84099adffffffff,60,0
843f649ffffffff,241,0
8430183ffffffff,42,0
844312dffffffff,266,0
8469937ffffffff,7,0
8428669ffffffff,1,0
8468b61ffffffff,2,0
840f717ffffffff,2,0
84bc097ffffffff,1,0
8469681ffffffff,4,0
847b481ffffffff,9,0
84430c5ffffffff,25,0
8467669ffffffff,4,0
8434623ffffffff,6,0
84b26d7ffffffff,1,0
848b84bffffffff,15,0
843b285ffffffff,1,0
8465a4dffffffff,4,0
842d001ffffffff,103,4
843b669ffffffff,1,0
848332dffffffff,3,0
842c301ffffffff,41,0
848263dffffffff,1,0
8445603ffffffff,26,0
84970a5ffffffff,2,0
844b129ffffffff,87,0
8429999ffffffff,31,0
84a7315ffffffff,51,0
841e92bffffffff,39,0
8428b31ffffffff,68,0
842c127ffffffff,23,0
842d027ffffffff,90,8
842a2d3ffffffff,4,0
844bb37ffffffff,38,0
84026edffffffff,2,0
8427b33ffffffff,22,0
8402085ffffffff,5,0
8427331ffffffff,26,0
84b9315ffffffff,6,0
844b4e7ffffffff,1,0
84190dbffffffff,20,1
8427981ffffffff,69,0
84426bbffffffff,17,0
8444065ffffffff,2,0
841f943ffffffff,105,0
84446e9ffffffff,366,0
8409851ffffffff,10,0
8460b13ffffffff,22,0
84be535ffffffff,11,0
846604bffffffff,65,0
84a04b3ffffffff,2,0
841faadffffffff,627,0
842e055ffffffff,13,0
84611b3ffffffff,21,0
841036bffffffff,38,0
848d83dffffffff,35,0
8405991ffffffff,1,0
841f047ffffffff,117,0
846a455ffffffff,7,0
8418d33ffffffff,2,0
844c855ffffffff,79,0
845c4dbffffffff,1,0
8418195ffffffff,1,0
84268ddffffffff,226,0
84132b3ffffffff,1,0
84481e9ffffffff,10,0
844b0bdffffffff,54,0
842703dffffffff,104,0
848b90bffffffff,5,0
84bed21ffffffff,11,0
8413717ffffffff,1,0
843682dffffffff,1,0
8418ea1ffffffff,6,0
84642e1ffffffff,2,0
8483957ffffffff,4,0
8430ebbffffffff,33,0
84361e1ffffffff,1,0
841fa29ffffffff,127,0
8415a51ffffffff,1,0
842ba3dffffffff,19,0
844506bffffffff,21,0
844c82dffffffff,2,0
8438245ffffffff,23,0
8408da7ffffffff,1,0
843aec9ffffffff,1,0
840e963ffffffff,2,0
843700dffffffff,5,0
8456f63ffffffff,3,0
8444e6dffffffff,188,0
841ec65ffffffff,344,0
840e5d7ffffffff,3,0
849c657ffffffff,2,0
84e2ca3ffffffff,1,0
844baa1ffffffff,12,0
8408d8dffffffff,2,0
848f403ffffffff,6,0
8410d4dffffffff,17,0
8454b69ffffffff,2,0
843b46bffffffff,2,0
841e105ffffffff,394,0
840b85dffffffff,11,0
848af6dffffffff,9,0
8432f03ffffffff,1,0
8464b4dffffffff,16,0
849d42dffffffff,2,0
